projid,library_ids,batch,index
21406768,D19-1431,9,249
21406920,D19-7334,9,250
21408652,D19-1429,9,251
21411323,D19-4771|D19-4771,9,252
21412626,D17-8761,9,253
22396591,D22-2708,9,254
22776575,D19-6015|D19-6015,9,255
22789958,D19-10914_11,9,256
22868024,D19-5980,9,257
23004922,D19-7335,9,258
23690880,D19-4157|D19-4157,9,259
24039289,D19-6006|D19-6006,9,260
24680888,D19-10914_10,9,261
24747976,D19-8340,9,262
2518573,D22-2717,9,263
25300551,D20-7457|D20-7457,9,264
26569730,D20-7448|D20-7448,9,265
26631069,D19-4799|D19-4799,9,266
27586957,D22-2706,9,267
2899847,D19-2467,9,268
29933130,D19-2469,9,269
31509843,D19-4120|D19-4120,9,270
31726180,D19-8354,10,271
31908032,D19-7309|D19-7309,10,272
32383679,D19-8332,10,273
32705437,D19-4786|D19-4786,10,274
3283241,D20-7456|D20-7456,10,275
33411712,D19-5047|D19-5047,10,276
33501827,D19-8343,10,277
34542628,D22-2716,10,278
34726040,D19-2462,10,279
34779151,D19-2487,10,280
34962204,D19-4117|D19-4117,10,281
35941263,D19-4773|D19-4773,10,282
36492755,D19-5971|D19-5971,10,283
36830117,D19-5998|D19-5998,10,284
37030589,D19-2455,10,285
37065652,D19-7331,10,286
3713990,D19-5948|D19-5948,10,287
37178462,D19-2477,10,288
37436329,D19-4128|D19-4128,10,289
37527863,D19-8328,10,290
38264019,D22-2709,10,291
3889845,D19-4792|D19-4792,10,292
39484737,D19-8325,10,293
39989287,D19-7319,10,294
41285665,D19-10914_16,10,295
41773404,D19-4124|D19-4124,10,296
42099069,D22-2704,10,297
42988567,D20-7441|D20-7441,10,298
43074402,D19-6004|D19-6004,10,299
43485807,D19-5992|D19-5992,10,300
43596435,D19-1425,11,301
44019405,D19-7305|D19-7305,11,302
44299049,D19-7497|D19-7497,11,303
44671043,D19-4795|D19-4795,11,304
45115248,D19-6019|D19-6019,11,305
45566083,D19-4778|D19-4778,11,306
46000440,D19-5977,11,307
46246604,D19-4783|D19-4783|D20-7450|D20-7450,11,308
46251007,D19-4115|D19-4115,11,309
47189548,D20-7446|D20-7446,11,310
48023497,D19-2456,11,311
482428,D19-10750|D19-10750,11,312
49676048,D20-7433|D20-7433,11,313
50100482,D20-7439|D20-7439,11,314
50100806,D19-5049|D19-5049,11,315
50100932,D19-6018|D19-6018,11,316
50101523,D19-6008|D19-6008,11,317
50101659,D19-5046|D19-5046,11,318
50101785,D19-5039|D19-5039,11,319
50102088,D19-5945|D19-5945,11,320
50102114,D19-2460,11,321
50102376,D19-5985,11,322
50103129,D19-5970|D19-5970,11,323
50104008,D19-4146|D19-4146,11,324
50104134,D19-5932|D19-5932,11,325
50105275,D20-7443|D20-7443,11,326
50105301,D19-4131|D19-4131|D20-7458|D20-7458,11,327
50105699,D19-5955|D19-5955,11,328
50105725,D19-5042|D19-5042,11,329
50106280,D19-2443,11,330
50106442,D19-4797|D19-4797,12,331
50106730,D19-5928|D19-5928,12,332
50107583,D19-5044|D19-5044,12,333
50107619,D19-7340,12,334
50107745,D19-5952|D19-5952,12,335
50107907,D19-6009|D19-6009,12,336
50108174,D20-7454|D20-7454,12,337
50108886,D19-10754|D19-10754,12,338
50108912,D19-7341|D20-7447|D20-7447,12,339
50109477,D19-5982,12,340
50109639,D19-4134|D19-4134,12,341
50109927,D19-5972|D19-5972,12,342
50111971,D22-2710|D22-2714,12,343
50197261,D19-5930|D19-5930,12,344
50300084,D19-4122|D19-4122,12,345
50300408,D19-5966|D19-5966,12,346
50300822,D19-10914_3,12,347
50301099,D19-5960|D19-5960,12,348
50301125,D19-4104|D19-4104,12,349
50301387,D19-5956|D19-5956,12,350
50301675,D19-7294|D19-7294,12,351
50301963,D19-10914_4,12,352
50302004,D19-5048|D19-5048,12,353
50302266,D19-4106|D19-4106,12,354
50302554,D19-6022|D19-6022,12,355
50400259,D19-8349,12,356
50400385,D19-5967|D19-5967,12,357
50400709,D19-2478,12,358
50400835,D19-2483,12,359
50401002,D19-4790|D19-4790,12,360
50402567,D19-5947|D19-5947,13,361
50402729,D19-7320,13,362
50403446,D19-2476,13,363
50404299,D19-5929|D19-5929,13,364
50405042,D19-7501|D19-7501,13,365
50405330,D19-7338,13,366
50406057,D19-6020|D19-6020,13,367
50409406,D20-7435|D20-7435,13,368
50410319,D19-2471,13,369
50500136,D19-4114|D19-4114,13,370
50500550,D19-8339,13,371
51520126,D19-10914_13,13,372
51624179,D19-10914_8,13,373
51815338,D19-4775|D19-4775,13,374
51826377,D19-4165|D19-4165,13,375
52311825,D19-7328,13,376
52764842,D19-4130|D19-4130,13,377
52940446,D19-8334,13,378
53772202,D19-7287|D19-7287,13,379
54324848,D19-8346,13,380
57978756,D19-4780|D19-4780,13,381
60725338,D19-7317,13,382
60747316,D19-5999|D19-5999,13,383
60848460,D19-5944|D19-5944,13,384
61029627,D19-7288|D19-7288,13,385
6107196,D19-4159|D19-4159,13,386
61142759,D19-4163|D19-4163,13,387
61344957,D19-4158|D19-4158,13,388
61827429,D19-2450,13,389
62404688,D19-2464,13,390
62483327,D19-5996|D19-5996,14,391
62574447,D22-2713,14,392
63188799,D19-7312,14,393
64291829,D19-4774|D19-4774,14,394
64336939,D22-2705,14,395
64493027,D19-5973|D19-5973,14,396
65001607,D19-6010|D19-6010|D20-7455|D20-7455,14,397
65002324,D22-2703,14,398
65292866,D19-5987,14,399
65499271,D22-2715,14,400
65652206,D19-2475,14,401
66406040,D19-7295|D19-7295,14,402
66754397,D19-2466,14,403
66924745,D19-5997|D19-5997,14,404
67185070,D19-7281|D19-7281,14,405
67429065,D19-2442,14,406
68015667,D19-6001|D19-6001,14,407
6804844,D19-2449,14,408
68525196,D19-8353,14,409
68539908,D19-2453,14,410
68745332,D19-4111|D19-4111,14,411
69982533,D19-7292|D19-7292,14,412
70153803,D19-4793|D19-4793,14,413
70421820,D19-8324,14,414
70625336,D19-4119|D19-4119,14,415
70816595,D19-4123|D19-4123,14,416
70883578,D19-5057|D19-5057,14,417
70917649,D19-7339,14,418
71626373,D19-5946|D19-5946,14,419
71648351,D20-7440|D20-7440,14,420
7253015,D19-7293|D19-7293,15,421
72650337,D19-5983,15,422
7265221,D19-10914_12,15,423
72777797,D19-4129|D19-4129,15,424
7311370,D19-7315,15,425
74284255,D19-4133|D19-4133,15,426
74753465,D19-7314,15,427
75169847,D19-8338,15,428
75990666,D19-4784|D19-4784,15,429
76647134,D17-8774,15,430
76733461,D19-4166|D19-4166,15,431
76867532,D19-7333,15,432
77143621,D19-5979,15,433
77239958,D19-4785|D19-4785,15,434
77891596,D19-4121|D19-4121,15,435
78353027,D19-4798|D19-4798,15,436
78452313,D19-2445,15,437
79590778,D19-8336,15,438
80790863,D19-8348,15,439
81086436,D19-8341,15,440
8109170,D19-7496|D19-7496,15,441
8132197,D19-5994|D19-5994,15,442
82317494,D19-2481,15,443
82684406,D19-6016|D19-6016,15,444
83034844,D19-2479,15,445
83173570,D19-8330,15,446
83984043,D19-7336,15,447
84417209,D19-4789|D19-4789,15,448
84642424,D19-6011|D19-6011,15,449
84653463,D20-7453|D20-7453,15,450
85065193,D19-5984,16,451
85171938,D19-4791|D19-4791,16,452
86408244,D19-5963|D19-5963,16,453
86934089,D19-2457,16,454
87410220,D19-7495|D19-7495,16,455
87645445,D19-8333,16,456
87779516,D19-5968|D19-5968,16,457
89001223,D19-4162|D19-4162,16,458
89164957,D19-5056|D19-5056,16,459
89546375,D19-4794|D19-4794|D20-7434|D20-7434,16,460
89903942,D19-7283|D19-7283,16,461
90267190,D19-5974|D19-5974,16,462
90780976,D19-2452,16,463
90942860,D19-5953|D19-5953,16,464
91018909,D19-5942|D19-5942,16,465
91444029,D19-2447,16,466
91707643,D19-7304|D19-7304,16,467
92393245,D19-8327,16,468
92629514,D19-2468,16,469
93815598,D19-5961|D19-5961,16,470
94092977,D19-5941|D19-5941,16,471
94144536,D19-10914_14,16,472
94430339,D19-2444,16,473
94974890,D19-2454,16,474
95491648,D19-7286|D19-7286,16,475
95919181,D19-2482,16,476
96095092,D19-2448,16,477
9650662,D19-7280|D19-7280,16,478
9841821,D19-5981,16,479
98953007,D19-2480,16,480
