,regulon
21,"[MTMR2,RSRC1,ME2,DENND4C,GIGYF2,SYNE1,RSBN1L,SCAF8,RERE,FIP1L1,LMTK2,USF3,SEC24B,NBEAL1,ATF6,DOCK7,ERBIN]"
22,"[EMD,STX4,SUN2,SYVN1,PHF13,ANKRD9,ENHO,TNFSF9,RPL32,SLC2A8,CCDC106,GRINA,FAM87A,RPL9,ZNF784,FAM32A,S1PR2,SYF2,RPS14,CIB1,HMGA1,FBXW5,ZDHHC4,RPL28,IDI1,ITGAV,DANCR,LYPD8,TAF13,SUV39H1,ZNF574,RPL27A,RPL34,EIF6,ZNF622]"
23,"[EVI5L,ACADVL,C2CD4C,CENPT,PRR14,RBM10,EMD,PIGQ,TPRA1,DDX51,DMPK,PCBP4,SHC2,COQ7,PRC1,PFAS]"
24,"[TMEM70,NAP1L5,CITED2,CDKN2D,EIF1,C15orf61,RAN,MIEN1,ATXN7L3B,GTF2A2,MDH1,PPP1R1B,NXT1,TUSC2,EMC7,PCSK1N,SLC25A11,TUBB,EIF5A,SLC25A3,UBE2M,NOP10,MRPL18,RRAGA,B4GAT1,SUMO2,LAPTM4A,RPL5,MARCKS,PSMD6,SLC35A2,PRPF19,ADO,YWHAB,PNRC1,BUD31,MMGT1,TSSC4,SNU13,ATP6V1G1,YIPF3,SSNA1,SNRPD2,C18orf32,FAM122A,MAGEF1,EID1,SET,TMEM155,SRPRA,TGOLN2,PTTG1,CCDC106,CHMP4B,ATP6V0C,AHSA1,SPRYD7,MAP1S,TRMT112,COA5,TINF2,FAM122B,SPINT2,RCN1,FN3KRP,MRPL10,CACNB3,C17orf58,ACTB,SERINC3,MAGED2,FAM32A,BOD1,PRELID1,MED18,DNAJA4,CTDNEP1,MPC2,PSMB3,TCP1,ZNF598,PTER,JMJD8,ATF4,TOMM20,MRPS10,NDN,DCTN3,BEX3,ZNHIT1,INO80B,RPL28,TMEM109,POP7,UQCRH,NUDT12,GRPEL2,FKBP1A,TFIP11,MUL1,ECH1,SRP14,UBA52,AKR1B1,ATMIN,KCNJ4,PHF13,NECAP1,UBE2L6,MMADHC,LARP6,PUF60,COPE,ITM2C,ACTR1B,RABGGTA,ARFIP2,C17orf49,HSPA8,FAM50B,BEX1,MAT2B,CRLF1,SUV39H1,ALYREF,CDC34,FASTKD5,CD2BP2,CBLL1,DAZAP2,ARHGAP4,MT2A,EEF2,MRPS33,OTUD5,SLC30A1,LDHA,KTI12,NNAT,RBM7,LRRC47,MAGEH1,PGAM1,SYF2,STRAP,TMEM33,MCM3,MED31,DNAJB9,CSTF2T,CCDC115,EIF3I,RPL37,RET,CCAR2,SUPT4H1,SNRPB2,NPM1,SCOC,CNPPD1,BTF3,RSL24D1,TARS,CCT2,LINC00899,AURKAIP1,ABHD10,DDX47,SNRPE,WDR83OS,PPP1CA,ACTR6,BRF2,NORAD,DLGAP1-AS1,DMAP1,NIF3L1,DNAJA1,UTP11,PEX12,ARF4,HNRNPA2B1,THY1,C1orf52,NME1,GABARAPL2,SMIM20,KIAA1522,USP51,EIF6,UBFD1,MAD2L1,PDIK1L,TSEN34,DANCR,EMC4,C16orf91,RNF152,CHCHD2,MYADM,TEX264,NDUFS2,KRR1,DNTTIP2,UBE2T,HCCS,ZNHIT2,CBX3,RPL26L1,ITGA5,RPL27,RAE1,SNAPC5,NGRN,MTX3,NAA20,TRAPPC2,RPL27A,SNX3,ARF1,SNHG19,HNRNPR,RPL13A,NDUFA13,VMA21]"
25,"[SOX1,GAREM2,ALDH1L1,GPIHBP1]"
26,"[H1FX,SUMO3,PJA1,VAMP2,DRD1,GPRIN1,GPX3,ACTB,PRR36,CXXC5,IGFBP5,EFNB1,FBLL1,PTMA,SF3B4,PTMS,GNAS,TUBB,NEUROD2,MKNK2,HEBP2,RTP5,CCDC102A,GJB3,HSP90AB1,KLF16,FAM210B,PEA15,SORBS3,HMG20B,ADRA2C,JUND,SYNPO,ZNF579,MSC,HBA1,SYN1,BSG,POU3F1,FOXP4,H1F0,TUBB4B,FOXF2,NUDT3,RTBDN,FAM107A,ZBTB33,EEF1A2,EHD2,DPH1,DUSP8,C6orf47]"
27,"[ADCYAP1,ZDHHC23,RHEB,GAP43,SUSD5,RASSF3,EXT1,FRMD6,OSBPL3,NECTIN1,PAK1,B3GNT2,RELL1,ADGRA1,SRF,C16orf87,IDI1,TLE3,VEGFA,SYCP1,PCSK1,FOXJ2,KLF6,EHD4,GLCE,SPRED3,MORF4L2-AS1,DDAH1,KCNG1,SH3RF1,GJC2,FAM160A2,LONRF1,TIE1,GNG5,SPRY2,ELOVL5,AMIGO2,SMURF1,ARPC5,PLS3,SPRED2,RREB1,ENAH]"
28,"[EMX2,NPY,EGFR,S100B,DLX1,IFITM3,ADIRF,OLIG1,XIST,GFAP,NMU,PLEKHB1,C1QL1,MT2A,GLUL,NXPH1,TMEM255A,SOCS3,APOE,PON2,CALB2,SALL1,SH3BP2,TRIP6,SOX13,AEBP1,ACBD7,BGN,GNG11,PRR18,NKX2-2,OLIG2,LOXL1-AS1,ACSBG1,SOX2,SHISA8,ZCCHC24,MAF,APCDD1,CMTM5,FCGRT,LRP10,ARX,TUBB2B,RGR,EZR,RAB13,CDC42EP1,MAG,P2RY1,ENTPD2,DLX6-AS1,TINAGL1,GPR62,FNDC1,TXNIP,ATP1B2,SH3BP4,PTGDS,SLC7A2,LCAT,RHOC,EMX2OS,ERBB4,GAREM2,VWA1,GAD2,ANKRD34B]"
29,"[SEPHS1,VAT1,SETD1B,HDAC5,CBX6,AK1,C2CD2L,ZADH2,CDKN1C,HK1,STRIP1,UBE2L3,GAS2L1,NINJ1,TMED3,CAP1,MAFG,LRFN3,LIMK1,PMEPA1,MORF4L2,PLEKHO1,SURF4,BORCS8,P4HB]"
30,"[KLC2,TBKBP1,CAMTA2,UBALD2,CHAC1,ST6GALNAC6,TAF6,STK11,DMTN,MBD3,B3GALT6,MAPK8IP2,SF3B6,EFNA3,BAG6,GDI1,CPTP,ATN1,GNPDA1,MATK,FAM3A,HSPBP1,GPRIN1,PPP1R1B,ZNF580,THOP1,RANGAP1,REEP6,SLC9A3R2,PPP2R1A,CLTB,RTBDN,CPLX2,CCNB1,CNP,CSPG5,NDUFS7,APC2,HLA-DRB1,PPP1R26,NBL1,PDZD4,H2AFX,TUBB3,VAMP2,TERF2IP,ZBTB45,CTBP1,NOC2L,LRFN1,PLEKHF1,TRIM28,NT5DC2,FKBP8,CHRNA4,MLF2,HTATSF1,SCRT1,PIP4K2B,WIZ,PLPPR2,TMEM97,ZNF579,SV2A,GRK2,LZTS2,ADAP1,DCXR,RBM38,R3HDM4,NAT14,AK1,BMP4,TMEM201,ARMCX1,GNA11,CNIH2,PCGF2,SLC25A5-AS1,PODXL2,P2RY11,FXR2,APOD,CCDC124,PARP3,CIC,FOXRED2,SHROOM1,PRDX2,ARMCX6,MAPK3,EIF5A,H1FX,SNPH,HID1,NONO,PHYHIP,B3GNT9,GLRX2,UNC119B,PSD,EHD1,RBM15B,RAB11B,INAFM1,DOHH,KLF16,SGTA,CALY,RPUSD1,FBXL19,DAXX,YPEL3,NCAPH2,PRRC2A,TMBIM6,PPP4C,RPL28,CBX5,NSMCE3,INPP5J,TMEM59L,ABCA2,TNIP1,PRMT1,MRO,TESK1,FASN,FBLL1,NINJ1,SYNGR3,ENTPD6,ATRAID,DDX39A,WDR34,PBXIP1,CLIP3,HDAC10,SPOCK2,ASPDH,FBL,HBA1,SCGB1B2P,POU3F3,CDKN2D,TUBB,MAZ,PJA1,TUBA1B,CDK2AP2,ARF3,C10orf25,GNB2,NRSN2,MEPCE,AGAP2,RAD23A,PCIF1,GHDC,MED16,SCG2,ENHO,FZR1,TECR,IGLON5,NSMF,RASL11B,MTA1,BHLHB9,PABPC1L2A,MAPRE3,C2CD4C,PCYT2,MORF4L1,DLG4,FGD5-AS1,DUT,RUNDC3A,CHMP1B,ZNF845,USP11,PRKCSH,PPP1R18,ZNF358,FAIM2,C1orf174,IDH3G,CCAR2,EPHB6,BSCL2,AKR1B1,KCTD2,STOML1,ZNF275,SLC17A7,NRBP1,EID1,RWDD2A,TMEM35A,UBE2Z,DUSP8,SH3BP5L,CHGA,FBXL16,KHSRP,ZMYND19,ZNF385A,EPN1,UBTF,GCAT,DTX3,STX1B,LLPH,UNC119,DOC2A,HPCAL4,E2F1,PNPO,GEMIN7,UBE2I,CAPN5,RASD2,PPM1M,DYNLL2,FLNC,UBE2M,RASD1,AVPI1,RPP14,DDIT4,MEDAG,DOLPP1,ZCCHC12,MED25,SPATA2,CASKIN2,GNAI2,DNM1,TPGS1,SNRPA,SF3B4,NABP2,NCDN,HIRIP3,TNPO2,CADM3,MUSTN1,CXXC5,EXOSC6,KEAP1,DGCR2,GRP,HCFC1,SIRPA,SUMO2,KLHL36,LSM6,EVC2,RTN4R,MXD4,CACNB3,DBP,CHD3,H1F0,HNRNPUL2,ZNF488,DAPK3,GSPT2,MAF1,LRFN3,LRRC59,AMPD2,CRABP1,CBLN3,EMILIN1,GAPDH,SUN2,PRSS56,ZNF205,MARCKS,NACC1,G0S2,NHLH1,ATP1B2,STRN4,ACKR1,MRPL41,PIANP,BMF,SPACA3,RNF40,EFNB3,STX1A,CNPPD1,FAM131B,GSK3A,GJD2,TMCC2,GJD3,G6PD,GMPPA,MAN1B1,EFNB1,HNRNPAB,ATG13,AGRP,SDC1,EPN3,SOX12,BRD2,FIZ1,LINC01315,CTXN1,AP1M2,RPLP0,DNAJB1,C6orf136,EDC4,PKP1,HMGB3,TKFC,ARHGDIA,SF3A2,INPP5K,MFGE8,ADGRB2,CD80,FNDC1,SPTSSA,PCNX3,FSD1,MSMP,DRD5,NFYB,TAGLN3,PLP1,NAA60,BZW1,PRKCG,LMAN2,RAPGEF3,EEF1A1,RPS6KA4,THRA,M6PR,FAM214B,TMED3,PAFAH1B3,ADAMTS6,PHF1,C2CD2L,GSTM3,MGAT1,KCNAB1,HAS2-AS1,SHMT2,LIMK1,ZCCHC18,KDELR1,PABPC1L2B,PIM3,TRUB2,UBA52,GSTM4,HEPH,PPP2R5D,ATP13A1,CTDNEP1,ICAM5,LRRC14,C1QA,RGMB,CELSR3,PNMT,STMN1,EFNA1,UBXN6,REC8,PGD,SHC1,CEBPB,MYADM,TNFSF9,CNBP,CENPI,CALB1,PI4K2A,GNAZ,YWHAZ,PHLDA3,CYB5R3,SMCR8,TMEM129,CETN2,FTL,SPDYE2B,FKBP2,WDR90,ZNF581,AGAP3,ANP32A,TLL2,CELF3,SSR4,FUNDC1,ALDOA,ZBTB7A,S100A16,EEF1G,BLCAP,NUDC,AP1S1,C9orf16,PHPT1]"
