Cell,AHCTF1(+),ARNT2(+),ARNTL(+),ASCL1(+),ATF4(+),ATF6(+),BCLAF1(+),BHLHE40(+),BPTF(+),CEBPB(+),CEBPG(+),CHD2(+),CREB1(+),CUX1(+),CUX2(+),DBP(+),ELF2(+),ELK1(+),EP300(+),ETS2(+),ETV1(+),FOXG1(+),FOXJ3(+),FOXP1(+),HIF1A(+),IKZF2(+),JUND(+),KLF12(+),KLF9(+),MAFG(+),MAZ(+),MEF2C(+),MXD4(+),MXI1(+),NFE2L1(+),NFIA(+),NFIC(+),NFYC(+),NPAS2(+),NR1D2(+),NR2C1(+),NR2F1(+),NR3C1(+),PBX1(+),POLR3A(+),POU2F1(+),PURA(+),RARB(+),RXRA(+),RXRB(+),SATB1(+),SMAD3(+),SMAD4(+),SMARCC2(+),SP3(+),STAT6(+),TEF(+),TERF2(+),THRA(+),THRB(+),USF2(+),YY1(+),ZBTB11(+),ZBTB20(+),ZBTB44(+),ZBTB7A(+),ZEB1(+),ZNF580(+),ZNF770(+)
91707643_pool1,0.0,0.046796195134548475,0.0,0.0,0.0013142347880075035,0.06091110808323382,0.034465053495341375,0.0,0.0,0.0,0.0,0.0677156011981868,0.005008079837906034,0.07522818397960633,0.0,0.0,0.15076275567961825,0.0,0.05427558824180739,0.0,0.0,0.0,0.16699076544942335,0.16981651018421715,0.0,0.20524200100692255,0.02632565392667321,0.0,0.18961138373372483,0.0,0.0,0.0,0.0,0.730293232857201,0.0,0.26784693841611673,0.012415341706865788,0.0,0.0,0.030408903983549996,0.0,0.0,0.09615217005524,0.24955934316902642,0.0,0.10588153346829396,0.017011406393012952,0.0,0.0,0.0,0.0,0.0,0.0,0.0013642218084720784,0.09832414821560408,0.0,0.001343715406573733,0.0,0.0,0.0,0.0,0.018873350313634962,0.0030986104279548156,0.3096564433445323,0.1194598724210954,0.0019392932085886506,0.0,0.0,0.0009455223598659138
91707643_pool2,0.0,0.03785675058515238,0.0,0.0,0.0023879504314314485,0.06640300354364792,0.03469615192066704,0.0,0.0,0.0,0.0,0.06208953500907342,0.0068027752589217404,0.05025784129567376,0.0,0.0,0.1476985491884362,0.0,0.056387692582745785,0.0,0.0,0.0,0.16268132634105112,0.17276433605183025,0.0,0.2536309004208055,0.025867347058333892,0.0,0.21181754133505404,0.0,0.0,0.0,0.0,0.7766239338753803,0.0,0.2760407661153973,0.012426391423322693,0.0,0.0,0.02998501858934686,0.0,0.0,0.09448226495610147,0.25022946560642495,0.0,0.10871210515778017,0.02001503387800463,0.0,0.0,0.0,0.0,0.0,0.0,0.0010622596690474286,0.09788590514868956,0.0,0.0006313004742814395,0.0,0.0,0.0,0.0,0.018562791896215774,0.0032162590854518465,0.31420127691467115,0.09942305086275931,0.00145645716622881,0.0,0.0,0.0009455223598659138
91707643_pool3,0.0,0.04460990870715414,0.0,0.0,0.00027078561891331204,0.05814662846963301,0.03486632460415457,0.0,0.0,0.0,0.0,0.0685799045374898,0.007463129001533176,0.04952591530436139,0.0,0.0,0.147258789774926,0.0,0.0550042032231147,0.0,0.0,0.0,0.16742170936026057,0.16913716405355222,0.0,0.2171391389430078,0.024592406373810986,0.0,0.18281185460085758,0.0,0.0,0.0,0.0,0.7433742869321348,0.0,0.2755996248087824,0.012294401568612192,0.0,0.0,0.036433213328680825,0.0,0.0,0.09426189101588986,0.25278748247470867,0.0,0.10585926152680951,0.02057556453872494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09506619150680928,0.0,0.0006289478017064776,0.0,0.0,0.0,0.0,0.019721459329694598,0.005466422079304779,0.3102949236529196,0.13703160964052083,0.0022315173989495437,0.0,0.0,0.0013212151935540885
91707643_pool4,0.0,0.04048907504296357,0.0,0.0,0.00274710363650524,0.058601966887330985,0.030938209872154555,0.0,0.0,0.0,0.0,0.0710201094255666,0.004716582038715417,0.0886908182997215,0.0,0.0,0.15584803410182854,0.0,0.05866699045091936,0.0,0.0,0.0,0.16505151785065586,0.16915067010414292,0.0,0.17079286809259095,0.03606371476072304,0.0,0.18504007017636756,0.0,0.0,0.0,0.0,0.75543428604235,0.0,0.2641593004210349,0.012032841358645711,0.0,0.0,0.03325763784939759,0.0,0.0,0.0906833555188111,0.23111123494851005,0.0,0.10181611793809761,0.01619356556890386,0.0,0.0,0.0,0.0,0.0,0.0,0.0016176543183463383,0.09223557407535854,0.0,0.0017405171521590343,0.0,0.0,0.0,0.0,0.020561447311344815,0.004512975410449983,0.30251214573819357,0.07392697932096082,0.002395774029316535,0.0,0.0,0.0012440639866359811
91707643_pool5,0.0,0.041438301767653306,0.0,0.0,0.0044414485231479535,0.06425674676162478,0.03497884543730308,0.0,0.0,0.0,0.0,0.07377357096214955,0.006373992182385926,0.07299429899985577,0.0,0.0,0.14766634312253193,0.0,0.053793204929546305,0.0,0.0,0.0,0.1646205739398186,0.15814126962272917,0.0,0.24733641340244128,0.028969430595906658,0.0,0.19415781243037694,0.0,0.0,0.0,0.0,0.7986437487995237,0.0,0.27579188285737444,0.012442855581228549,0.0,0.0,0.03680521196802654,0.0,0.0,0.09387663383988698,0.24442140811555618,0.0,0.1068122404150967,0.02257853784961259,0.0,0.0,0.0015096111335485705,0.0,0.0,0.0,0.0,0.10490678827239155,0.0,0.0020498902505194953,0.0,0.0,0.0,0.0,0.020779262992407094,0.003911938504176927,0.3045046927134417,0.13192300429903994,0.0018924980642454794,0.0,0.0,0.0009455223598659138
91707643_pool6,0.0,0.032406529883352755,0.0,0.0,0.0015538335604311539,0.06116977468755688,0.033667078581896895,0.0,0.0,0.0,0.0,0.07359668455392063,0.007547831956487447,0.07628985132195672,0.0,0.0,0.14973260907395336,0.0,0.05521118413817337,0.0,0.0,0.0,0.16548246176149306,0.1777130432336948,0.0,0.21861925829934722,0.029049220043286476,0.0,0.18307769412281194,0.0,0.0,0.0,0.0,0.7719956415168513,0.0,0.2698553784831051,0.012324483355766554,0.0,0.0,0.03255357730651951,0.0,0.0,0.0921610250277252,0.2383816502193079,0.0,0.10168262219431161,0.016525284303879152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10190032900803442,0.0,0.0019389685827317358,0.0,0.0,0.0,0.0,0.018622968888141758,0.0032576235229353503,0.30353814499907705,0.10635654350846778,0.0011989140597426335,0.0,0.0,0.0009455223598659138
91707643_pool7,0.0,0.04219249914747511,0.0,0.0,0.001440557227045003,0.05709002753819501,0.03365090845795701,0.0,0.007473411235155371,0.0,0.0,0.06668979642619449,0.006498324430269108,0.05475596734073505,0.0,0.0,0.1349212513986824,0.0,0.05563916722759708,0.0,0.0,0.0,0.16699076544942335,0.16859589121610916,0.0,0.2751408617507359,0.02817802173862823,0.0,0.24720469948627316,0.0,0.0,0.0,0.0,0.7892565650740314,0.0,0.2782270966149639,0.013750509421993292,0.0,0.0,0.031096659492898346,0.0,0.0,0.09208543991609286,0.26964953081458604,0.0,0.10488771311544229,0.018100562605671573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09499478117621729,0.0,0.0006313004742814395,0.0,0.0,0.0,0.0,0.01843460191586948,0.0020287246681157754,0.31019831686713284,0.1558960359003559,0.00042204306690444193,0.0,0.0,0.0014788720076910904
91707643_pool8,0.0,0.03233640906309622,0.0,0.0,0.0035440912366125113,0.0678820349245346,0.03193210261921679,0.0,0.0,9.824733435222163e-05,0.0,0.06807910077394723,0.005511191560783049,0.06111582807448356,0.0,0.0,0.13696843846121057,0.0,0.05658896809763062,0.0,0.0,0.0,0.1700073728252839,0.16854255540437998,0.0,0.23220871885636782,0.04291960507369246,0.0,0.1724482188768428,0.0,0.0,0.0,0.0,0.8442157580893609,0.0,0.27355540216731894,0.013376504421384808,0.0,0.0,0.033825588039432315,0.0,0.0,0.08615197597919341,0.2370375723406941,0.0,0.09817154634241956,0.02205532693929966,0.0,0.0,0.0,0.0,0.0,0.0,0.00019760026055491776,0.09595413707362062,0.0,0.0006328689226647474,0.0,0.0,0.0,0.0,0.022900140483650095,0.0039028025584294974,0.29090539038951074,0.10921174200718563,0.003011476843135027,0.0,0.0,0.0020826640618328
91707643_pool9,0.0,0.035572126362310434,0.0,0.0,0.0024872234891726995,0.04602431668044536,0.034153301264356,0.0,0.0,0.0009606406025550559,0.0,0.05814873725638396,0.0069030433615367166,0.039933841989241915,0.0,0.0,0.14422156012013546,0.0,0.03699221727937789,0.0,0.0,0.0,0.16397415807356278,0.15323345184620227,0.0,0.2697374379462449,0.03910710691421956,0.0,0.24076239176515263,0.0,0.0,0.0,0.0,0.7283521087758155,0.0,0.2656248056540931,0.013497348398250985,0.0,0.0,0.03290904228368703,0.0,0.0,0.09030683863294837,0.21530180626194942,0.0,0.09825622130126944,0.01733601618961338,0.0,0.0,0.0,0.0,0.0,0.0,0.0014203408615228535,0.08118534730788722,0.0,0.00416210728363685,0.0,0.0,0.0,0.0,0.022163727446621977,0.004318996723983267,0.2965444439264619,0.11560460548170219,0.0018593949710481578,0.0,0.0,0.0013122980803606551
91707643_pool10,0.0,0.026969679821528633,0.0,0.0,0.00017747435834183288,0.07261823916636918,0.028887662335620016,0.0,0.010751223180398953,0.0002765480522506979,0.0,0.0670927673782371,0.004659409958792783,0.08499696362500621,0.0,0.0,0.14693361371754154,0.0,0.0515612554497178,0.0,0.0,0.0,0.16591340567233026,0.1834128838921063,0.0,0.23248634410241725,0.029287196999519753,0.0,0.19656576870825493,0.0,0.0,0.0,0.0,0.7903521537143298,0.0,0.273886776795074,0.014997187687840996,0.0,0.0,0.03536080221578418,0.0,0.0,0.09005313309250068,0.23337514322498096,0.0,0.10609082151374384,0.016013439834356602,0.0,0.0,0.0,0.0,0.0,0.0,5.147072655173008e-05,0.09764809001680036,0.0,0.0016787993773252732,0.0,0.0,0.0,0.0,0.017862444176892013,0.001908586222187769,0.2962818356604211,0.10248230529499472,0.0008892012472953559,0.0,0.0,0.0017796219470530166
44019405_pool0,0.0,0.05018747914403636,0.0,0.0,0.0005745046239106756,0.052096019969823944,0.03459978127775378,0.0,0.0,0.0,0.0,0.08055265104976549,0.004205778840368378,0.08234061510781275,0.0,0.0,0.15633722567594202,0.0,0.05962723596534216,0.0,0.0,0.0,0.1646205739398186,0.19409398737942526,0.0,0.1566191936848962,0.028759646512265695,0.0,0.1251541234669919,0.0,0.0,0.0,0.0,0.7103697109256355,0.0,0.2684041804853928,0.014352314747159456,0.0,0.0,0.03508728849327873,0.0,0.0,0.09571660069330672,0.24633618352440415,0.0,0.10387336554100554,0.02114814694131227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09594807370058267,0.0,0.000621105559789938,0.0,0.0,0.0,0.0,0.020730724834662744,0.004190171766466949,0.3044278026296244,0.10826753030446933,0.00230043097665546,0.0,0.0,0.0009455223598659138
44019405_pool1,0.0,0.03474796991047046,0.0,0.0,0.003618648668315388,0.07506268763970574,0.033762202517611924,0.0,0.0,0.0,0.0,0.0694677444774275,0.005975973788979811,0.08168084526498759,0.0,0.0,0.16264166927656817,0.0,0.06497400946566133,0.0,0.0,0.0,0.16483604589523723,0.18879648875173005,0.0,0.16751518116289643,0.028433744119058437,0.0,0.15498500027402257,0.0,0.0,0.0,0.0,0.7599263037147173,0.0,0.26576845979874403,0.012385966596694192,0.0,0.0,0.032791898131381364,0.0,0.0,0.09266772751752166,0.21714100788716062,0.0,0.10493743341797562,0.02262456875668611,0.0,0.0,0.0,0.0,0.0,0.0,0.00014558888865117043,0.09845955032271468,0.0,0.0006336531468564014,0.0,0.0,0.0,0.0,0.02129997561043372,0.0029419769302900796,0.29916075361875355,0.14932219094603735,0.0020570776514902745,0.0,0.0,0.0022201944741650783
44019405_pool2,0.0,0.040676473558538685,0.0,0.0,0.0021625320865244374,0.06135829775095696,0.03147661251616652,0.0,0.0,0.0,0.0,0.06455571286023983,0.006376678179927559,0.06684043745025667,0.0,0.0,0.13900879914079223,0.0,0.054859955242775676,0.0,0.0,0.0,0.16311227025188835,0.18528849928876245,0.0,0.18583235226473344,0.03656439066684,0.0,0.15612028251459764,0.0,0.0,0.0009578695597244814,0.0,0.7552807505233743,0.0,0.2736718625781581,0.014306583458599548,0.0,0.0,0.030105483808826446,0.0,0.0,0.09579734771840669,0.21834196046979315,0.0,0.09668023401973445,0.020319347119331286,0.0,0.0,0.0,0.0,0.0,0.0,0.0009867691341912664,0.08751295072318364,0.0,0.0006367900436230172,0.0,0.0,0.000692375189126178,0.0,0.023052412963934173,0.004123185860150776,0.3010808620900281,0.1644464411591105,0.002111445532562572,0.0,0.0,0.0009455223598659138
44019405_pool3,0.0,0.03345300167238176,0.0,0.0,0.004747643328526022,0.05015944741630102,0.03304389356344825,0.0,0.0,0.0,0.0,0.0674703931667473,0.006024412929170385,0.058680021534613054,0.0,0.0,0.14198277386375488,0.0,0.056047609830278275,0.0,0.0,0.0,0.1622503824302139,0.16184734692143998,0.0,0.18479519710709108,0.03698304218744342,0.0,0.140195591146124,0.0,0.0,0.0,0.0,0.7775826282438333,0.0,0.26809887206918104,0.014123887928279576,0.0,0.0,0.030538447835245803,0.0,0.0,0.09033262871867809,0.22480762364925652,0.0,0.08843684243389151,0.021566640775937285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0914945755669984,0.0,0.0006297320258981315,0.0,0.0,0.0,0.0,0.021225892808210904,0.00440469842517225,0.2950731125010114,0.13796744307083747,0.0036006072591133723,0.0,0.0,0.0009455223598659138
44019405_pool4,0.0,0.02545427246821091,0.0,0.0,0.0025955223895305544,0.06697781331090749,0.030335302486350964,0.0,0.0,0.0,0.0,0.08664705078618913,0.004597722770478489,0.07933370602576557,0.0,0.0,0.1490287732620833,0.0,0.0631566745301599,0.0,0.0,0.0,0.1656979337169117,0.196255110369503,0.0,0.25873902366219087,0.026917601948828352,0.0,0.18682742775572247,0.0,0.0,0.0,0.0,0.7832649928358929,0.0,0.2749369116300635,0.012431107540302792,0.0,0.0,0.028553916733637785,0.0,0.0,0.09795299576057535,0.24098900120480177,0.0,0.09779543945075526,0.01852967697253881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09154136202293037,0.0,0.0006328689226647474,0.0,0.0,0.0,0.0,0.02207428661642945,0.003888306363691278,0.30770583357204084,0.18306873106808697,0.0005656643940602608,0.0,0.0,0.0013815943989682596
44019405_pool5,0.0,0.032822048960723174,0.0,0.0,0.00455794757914154,0.06118613065259475,0.033778487033969476,0.0,0.0,0.0,0.0,0.05437468081143191,0.005138360477092983,0.027252234225514756,0.0,0.0,0.14137398739550702,0.0,0.05584927322590602,0.0,0.0,0.0,0.16505151785065586,0.1578498951546965,0.0,0.21521608158649838,0.032106907797547025,0.0,0.16267676057395772,0.0,0.0,0.0,0.0,0.6835960691331953,0.0,0.2748190702668148,0.0128708545104168,0.0,0.0,0.03527761607379883,0.0,0.0,0.09257918901827863,0.2052927155687574,0.0,0.09593805985542497,0.020558512912735034,0.0,0.0,0.0,0.0,0.0,0.0,0.0001514540919223322,0.08590269202687913,0.0,0.0006367900436230172,0.0,0.0,0.0,0.0,0.024750007079101046,0.004088577771098904,0.30283757768022423,0.18240825541188377,0.0021462977601230987,0.0,0.0,0.0009455223598659138
44019405_pool6,0.0,0.03153888510915105,0.0,0.0,0.0010195339199449162,0.047103227090925424,0.031217749339765972,0.0,0.0,0.0,0.0,0.0648453502310541,0.004164837492900909,0.06764780063605996,0.0,0.0,0.15145926583397867,0.0,0.05254373724555765,0.0,0.0,0.0,0.16699076544942335,0.17672606187968387,0.0,0.20371665798608135,0.03841754289764971,0.0,0.14611417712923844,0.0,0.0,0.0,0.0,0.750641231066442,0.0,0.27724442048615616,0.01236927517891986,0.0,0.0,0.0274850535979404,0.0,0.0,0.08928539067346639,0.24199869117158238,0.0,0.09401691594183398,0.021947004176592535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09132268463099576,0.0,0.0006383584920063252,0.0,0.0,0.0,0.0,0.0240236187668918,0.003742884541064631,0.30271028524339,0.14350230870290298,0.0007023562069199851,0.0,0.0,0.001337987195058025
44019405_pool7,0.0,0.03139745821960721,0.0,0.0,0.006627847744850759,0.05015404105496668,0.031460725406814986,0.0,0.0,0.0,0.0,0.06887533647947511,0.0074256126409196835,0.01961866074471478,0.0,0.0,0.1446732747526825,0.0,0.05202581241386452,0.0,0.0,0.0,0.16483604589523723,0.17152726072611935,0.0,0.12626616088510745,0.051284571621860606,0.0,0.12767425072208785,0.0,0.0,0.0,0.0,0.7151895542222707,0.0,0.2744536398728497,0.0146114115150799,0.0,0.0,0.030699296825140776,0.0,0.0,0.08816338895634042,0.2519153719092235,0.0,0.0912713275197697,0.021834194363453248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09476677022530867,0.0,0.0006375742678146712,0.0,0.0,0.0,0.0,0.022671490134527038,0.008382908423809218,0.290756683533776,0.16627094906318898,0.002306145397024856,0.0,0.0,0.0022570928774737382
