,regulon
20,"[ATXN7L1,ADCY6,MARK2,SLC20A2,PDXDC1,MARK4,TWSG1,GMEB1,AKIRIN1,STK33,CUX1]"
21,"[MRPL28,PFKL,GRK2,RPL26L1,NIF3L1,LHX2,MAPK12,FSTL3,EMX2,XPOT,PFKP,C1orf174,ASPHD2,CASKIN1,ABCA3,SNX11,ARL8A,PLEKHA7,PLEKHG2,ARPC5L,DUSP4,LINC00092,KDM6B,IGFBP5,PLCD1,SYNM,AKR1B1,TMEM130,HPS4]"
22,"[GBA,NBR2,RNF139,MRPL39,KRBOX1,P3H3,EMD,RNF166,RHOC,MMGT1]"
23,"[TNS3,SYDE2,PLIN2,GREB1L,RCC2,AKR1E2,GPR63,HMG20A,EPB41L2,FBXW4,ANKS1B,TTTY14,SLC12A9,TRAF3,PCNX1,TGFBR2,PTPRT,KAT6B,RARB,SLC4A7,LMO7,PLCL2,TGFBR1,ERAP1,PHC1,ME1,ELK3,CDON,SYBU,CEP85L,CD2AP,CA5B,ACACA,GNB1,SLC16A7,ELOVL7,SUPT3H,ACAP2,ZNF521,HSF2,GLCE,OXR1,HOMER1,BTBD7,ICA1L,SNX9,KAZN,CBL,LARP4B,LRP12,CCSER1,KDM3B,CUL3,TOB1,SLC23A2,MAGI1,NETO1,DPY19L1,DLG2,SYT14,GNAL,ATXN10,NOVA1]"
24,"[C22orf34,PCDHB12,GPAM,TGFB1,STK40,CEP135,C1orf220,SARS2,CEP41,AGO1,DTX4,EPHA5,CARS,ZSCAN12,ELF1,MLH1,BCL2L1,PRIMPOL,PVT1,NATD1,RGPD2,SLC22A5,ACBD7,AKR1C2,OTUD7B,GPR176,SLC20A2,FAM177A1,SAP30BP,GAS7,TOP1,VRK3,SHQ1,C8orf88,SMG7,BACH2,DRC3,MMACHC,LRRC8C,EEF1AKMT1,LRRCC1,TRHDE,UBAC1,ZC3H18,FAM234A,ASAH2B,ASNSD1,CEP152,CEP89,NEAT1,FBXO9,PIEZO1,THRAP3,TSPAN12,KIF27,ZFX,ZNF776,PHOSPHO2,PXMP2,CRISPLD1,LINC01118,GYPC,MFF,PDE4A,ZNF696,CNKSR2,AFTPH,PER2,TRAPPC6A,ING3,MAML1,MFSD12,ZNF234,NANP,DUSP1,LITAF,ZNF488,AP2A2,RPRM,NDEL1,CCDC126,TMTC2,B3GAT2,STK32A,NT5DC1,MAPRE1,MED26,SORBS2,RAVER2,RPA2,CCNI,BTF3,TBC1D9,EPN1,KIFAP3,BANP,YTHDC1,TDRD3,SLC25A24,MKRN2,ZNF639,SYNE2,RAD17,STX17,FUT8,ZFAND4,CCSER1,SLC12A2,FRMD6,VSTM2A,ACVR2A]"
25,"[RAB3IP,ZNF410,RHOBTB3,C8orf76,BAALC,KIAA1586,DIP2C,TGFBR3,PABPC1,AHCYL1,BCL2L1,ADHFE1,ARHGEF3,HMBOX1,RPS27L,ELF2,HNRNPF,FGF2,ZDBF2,FBXO25,DCLRE1A,DYRK3,MFAP3L,RAB20,SH3BP2,GSPT1,L3MBTL4,TARSL2,TGIF1,HUNK,ARID5A,TMEM161B-AS1,ZNF160,PITPNC1,PPP1CB,PPP2R2A,PTOV1-AS1,TBL1X,FJX1,RASSF8,AK3,PYCR1,CPSF6,CRTC1,SLITRK3,BMPR1B,HDAC5,SNTG1,BCAR3,PHRF1,C9orf72,POGZ,HNRNPU,REXO1]"
26,"[SUPT7L,RALBP1,GPANK1,PHF20,PCNT,SNX32,ARL6,DNAJC25,SUV39H2,TMX3,NUP153,CASP8AP2,ATXN2L,RGL1,ZC3H13,URGCP,DAD1,GCC2,TMEM138,COL15A1,MAP3K2,DPM2,STX4,PMS2,NDUFS3,RFC3,ING1,PPIP5K2,KCTD15,HARS,PGD,RAB4B,ELK4,MICU3,UEVLD,GPKOW,MIR193BHG,CNIH4,SUGP2,VARS,TRMT1,GLO1,C7orf50,ETFB,FTSJ3,USP51,PTPN13,ACADM,METTL9,KLF6,CHD1L,HDX,SGSM1,CLK1,SNX14,BACH2,FUZ,IGBP1,RAD17,TRAF7,LAMTOR1,RBM42,CEP112,WAC-AS1,ZRANB3,ATP6V1C1,LGI2,IFNGR1,TDRD6,EPS15,ZNF839,NDUFA10,LIN7A,PES1,CETN3,TIMM10B,MNS1,ZMAT1,DRP2,CCDC144A,TSC1,CERCAM,UNC79,TCEA3,ATL2,PHF1,MAPK8IP3,ABR,PPM1A,PGPEP1,ASNSD1,FAM126B,UTP14A,CLDND1,GALNS,CLK2,NIFK,CCP110,UBR2,HERC3,FAT4,SLC38A2,CDC42,SEPHS1,NTAN1,GGNBP2,DDX3Y,CCNL2,DNM2,FAM210A,RANBP10,CPSF3,FABP5,TCTEX1D2,PSMB1,GIGYF1,TRIP6,CREBZF,CTSL,ZNF496,IPO13,PLAC8L1,SLC35B3,SEMA6D,NRBF2,RARA,NOVA2,AP1S2,LZTS2,SEZ6,SSUH2,AZIN2,ARHGEF37,DDB2,KIF6,FAM24B,FZR1,ASAH2B,UBXN8,GSTO1,SLC25A14,BAX,WRAP53,PTPMT1,CHRDL1,RALYL,MRPL40,GIN1,BAG6,LINC01184,SEMA4D,TTN-AS1,STRN,GAD1,NDUFC1,INF2,IDS,FKBP2,IRF9,FYCO1,LSS,MPI,EFEMP2,FRMD3,ST3GAL1,SLC26A6,CYP3A5,ARHGAP19,MFSD13A,ACLY,PSMA6,DOCK11,YPEL4,ZNF16,TMEM8A,KAT14,AHCY,TSTD2,C1orf52,PEX16,ZNF419,ACTA2,ZNF622,LMNB2,HUNK,LYPLA2,CLPTM1L,ABCF3,C8orf88,ANKRD42,ZNF623,COPS9,TRIP4,CDC37L1,ADO,GALNT16,SPTAN1,BAG4,SEC22A,UBAP1L,MIA2,NDUFB7,SUMO2,RBM15B,C22orf34,SLC6A6,CDK10,ZNF284,SLC9B1,WDR43,ZNF286A,CLIP1,JDP2,GSKIP,FBXO28,PSMD12,CCK,HCG18,ATP6V1F,EPDR1,GPR173,PSMD14,ENOX1,ZNF706,BEX5,SMG6]"
27,"[GRM7,FBXL20,MSI2,UBAC2,RERE,NRF1,PHACTR3,FAM168A,USP32,FOXK1,CAMKMT,ZBTB10,PDCD6,PLCL2,NPHP4,CDC42SE2,ZNF717,ZNF248,SLC4A7,TET1,ILKAP,DMWD,NUMB,PAN3,PRRC2C,IQCH-AS1,VGLL4,CACYBP,OSBPL8,NEBL,KLHL8,STX8,PTPN12,LSAMP,CRLS1,OPCML,TCF7L2,ARID1A,CDK14,ERBIN,TRPS1,FOXN3,FGF14,ZMYM4,STX16,NF1,AKAP13,TPP2,PLD5,JAZF1,HOMEZ,STAT5B,DPYD,POU2F1,ATRX,CEP152,FAM13B,BRPF3,JADE2,ZNF84,PEAK1,YAF2,PDLIM5,ZBTB26,SFSWAP,AKIRIN2,RNF157,SETD3,ZFPM2,ZC3H12B,CFLAR,MICAL3,KCTD8,HECTD4,EP300,STRN3,RGMA,USP27X,CDC42BPA,EIF4E3,PITPNC1,ZBTB8A,CDKL5,NCOR1,CDK6,CNTN1,CTNND2,ARHGAP24,AHCTF1,ZNF83,UBA3,PRKCA,ZFHX4,UBE3C,ADAM10,BPTF,ABR,ARHGAP21,AKT3,ZNF804A,LYST,MAPT,MARCH3,OLA1,KIAA1217,SORBS3,LRP12,TET2,NNT-AS1,MBD5,GALNT13,ODF2L,MIRLET7BHG,TMEM117,NRCAM,RNF111,GSE1,DMXL2,ENTPD4,TEAD1,TM9SF3,CAPRIN2,PUM1,ZMYM2,GRM5,MAPK8,LRP1B,UBAP1,KDM4C,ADGRB3,CTNNB1,FYN,TTL,TSC22D2,ZBTB16,ANKRD17,CROT,SKIL,CSMD3,NR3C2,MLLT3,ADNP,TOX,PTPRJ,PRKG2,ME2,PROX1,CDK19,COL19A1,BTBD9,GSKIP,SMAP1,MEF2D,PXK,HIVEP2,STIM2,PUM2,FOXO1,PWWP2A,JMJD1C,ZNF516,RANBP2,CADM1,ITPR2,DNM3,MYRIP,IFT74,STXBP6,CAMK2D,SCN9A,KMT2A,DGKH,PPTC7,STRN,DOCK10,ZBTB20,ANKRD6,GPR63,ZNF518A,RNF180,LMO7,KATNBL1,RAI2,RAP1B,ZNF347,CBL,EPRS,TAB3,EGFR,TDRD6,GAB3,OXR1,ZFX,CEP112,ARHGAP17,LSM14A,DYNC2H1,EPB41L2,ZNF891,HMG20A,BNIP3L,TMEM38B,CDC34,ROCK2,ANKIB1,FAM24B,GREB1L,NPR2,UNC5D,USP3,LIMS1,MFAP3L,ATL1,NEMP1,LINC00472,SVIL,TBC1D20,MID1,ZNF160,LMNA,FNDC3A,PGAP1,RNASEH2B-AS1,ARL6,TRAF6,TNFRSF19,BRINP3,CEP135,UBE2E1,LIN7A,ASXL1,IGSF11,CNRIP1,WHAMM,PHC2,TPK1,B3GAT1,PCGF5,PPID,PAPOLA,FRS2,C1GALT1,RPS6KB1,TRIM9,REV1,APPL1,PHACTR2,HLTF,CHD6,LINC00612,TMEFF1,SMAD1,LRRC3B,RABGAP1,NECTIN3,GNG4,PAFAH1B1,RFX3,TMTC2,ARID2,CEP350,ZNF423,MICU1,CHIC2,CAND1,DCAF5,OXSR1,FCHO2,FUT9,HDHD2,CPSF6,MAGI2,SMARCA5,PIK3C2A,TAB2,PPP3R1,OGFRL1,SNTG1,ORC4,CREB1,EEA1,PAK3,STK3,GTF2H2,PMS1,SNX25,CSNK1G1,LRRC4B,RBM12,FNBP1,SETDB2,SIK3,DGKI,PDS5B,USP53,DIP2A,OSBPL1A,MAPRE3,EEF1E1,TRERF1,UBE2J1,FRYL,AP1S2,APP,ELMSAN1,MTMR10,RBFOX1,SATB1-AS1,SNX29,UBE2D3,TOP2B,SLC20A2,NALCN,SNX27,ME1,ZNF280D,SCML2,ARFGEF3,DENND4C,YTHDF2,WDR41,DIS3L2,MTMR3,GPBP1,ETS1,KCTD6,ATXN2,WDR37,MEF2C-AS1,PAQR3,CA5B,DCUN1D4,FAM49B,PURG,USP9X,PATJ,FER,MAGI3,EDEM3,PIAS2,PLEKHA5,SOCS4,HBP1,SETD5,KLHL29,RASSF8,NAA16,KCMF1,CLASP1,FLRT2,ZNF827,MTX2,QKI,SNAP91,CDH11,EDIL3]"
28,"[TRAPPC2L,SFR1]"
29,"[IGDCC3,GMDS,PEX5,CDC73,ANO2,EZR,EPB41L5,PHLDB2,ZFY,ASAP1,SLC25A15,TM9SF3,NAB1,GAA,WDR5,FBN1,ULK2,TRIO,RASA2,SUGCT,CBFA2T2]"
