Cell,ATF3(+),BHLHE41(+),CEBPA(+),CEBPB(+),CEBPD(+),DLX1(+),EMX2(+),ERF(+),ERG(+),ETS2(+),ETV6(+),FOS(+),FOSL2(+),FOXN2(+),FOXO1(+),FOXP2(+),HES1(+),HES6(+),HEY2(+),IKZF1(+),IRF7(+),IRF9(+),JUN(+),JUNB(+),KLF15(+),KLF6(+),MAF(+),MAFB(+),NFE2L2(+),NKX6-2(+),NR2F2(+),PDLIM5(+),RBPJ(+),REL(+),RELB(+),RFX2(+),SOX13(+),SOX18(+),SOX2(+),SREBF1(+),SREBF2(+),STAT5A(+),STAT6(+),TCF12(+),TGIF2(+),VEZF1(+),ZIC1(+),ZNF217(+),ZNF354C(+),ZNF467(+),ZNF90(+),ZNF98(+)
50197261_pool2,0.010116151841861782,0.14546028053538296,0.01695775632082749,0.038111009454973345,0.03241825898789205,0.0,0.0,0.0,0.0,0.031880021985561446,0.150516418591385,0.006258824035302937,0.08441336838262853,0.18843993792176827,0.0,0.05786680937373409,0.0,0.0,0.0,0.0,0.0,0.0,0.028807106422016164,0.013941924114929564,0.0,0.04565290588824814,0.0,0.0005604545546812098,0.06369584245404761,0.0,0.0,0.050671435900545736,0.19043996667180252,0.14358032591015524,0.0,0.11267529951869061,0.0,0.0,0.00012873363329740138,0.0,0.0,0.0,0.0,0.4687819956919233,0.0,0.028106426349052364,0.0,0.0,0.0,0.0,0.0,0.0
60725338_pool0,0.012018996392663548,0.08540787114004136,0.0042977425459271995,0.014281993421941102,0.016681377107465353,0.0,0.0,0.0,0.0009902777256305165,0.018216976530705573,0.17560248835661588,0.009588613551710751,0.05264575173948856,0.15025387120634384,0.00012479331558841914,0.1120174016317238,0.0,0.0,0.0,0.0,0.0,0.0,0.012710539749269823,0.014294490352807727,0.0,0.06103211693606045,0.0,0.0009291746564451636,0.085011045848304,0.0,0.0,0.10277904799025897,0.16868201855661744,0.13190921742093661,0.0,0.0781457722468338,0.0,0.0,0.0,0.0,0.0,0.005425017160978175,0.0,0.35342146891900683,0.0,0.023423486485775285,0.0,0.0,0.0,0.0,0.0,0.0
84653463_pool0,0.010309114233112317,0.09007861409301238,0.0043591388680118736,0.01462026291776818,0.020604952175249346,0.0,0.0,0.0,0.0,0.022293189170134446,0.17484230442433613,0.010312150299129935,0.047438475036895744,0.18511941038129656,0.0005576815681397903,0.0997448947600647,0.0,0.0,0.0,0.0,0.0,0.0,0.01405671416042733,0.01499510274837305,0.0,0.05891728070299795,0.0,0.0005063756064224966,0.0775938917554296,0.0,0.0,0.07518874657566428,0.14677759630585233,0.12104748649694504,0.0,0.0781457722468338,0.0,0.0,0.0,0.0,0.002341675294040165,0.007998422737339618,0.0,0.4150627719617589,0.0,0.029158557270576275,0.0,0.0,0.0,0.0,0.0,0.0
36492755_pool0,0.0049779263009904874,0.15747076241445127,0.017620335513755345,0.04686713424002018,0.041068107554815804,0.0,0.0,0.0,0.0,0.03968510612985518,0.16800064903381862,0.006578811220685327,0.06094041865141802,0.1826290147259428,0.0,0.05839769753312614,0.0,0.0,0.0,0.0,0.0,0.0,0.028615722864571543,0.013840413711885463,0.0,0.04206223785142937,0.0,0.00029497608141116304,0.06641985490575393,0.0,0.0,0.07583117501790541,0.11814392823491866,0.10002710058946378,0.0,0.11449264305931466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3699016595142353,0.0,0.029261691735960976,0.0,0.0,0.0,0.0,0.0,0.0
36492755_pool1,0.0042209060148500795,0.15880526040101442,0.01807814531388387,0.0581776952776045,0.04991850544256006,0.0,0.0,0.0,0.0,0.04418179890352602,0.16800064903381862,0.005068806264446945,0.057764535063604745,0.1743276958747636,0.0,0.07963322390880838,0.0,0.0,0.0,0.0,0.0,0.0,0.03307199832609299,0.011241970695851308,0.0,0.041914227179174784,0.0,0.0006931937913162332,0.05861902295896479,0.0,0.0,0.05218677108205212,0.16214483945983285,0.09182308465274668,0.0,0.10540592535619443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35667710125526864,0.0,0.029674395757215328,0.0,0.0,0.0,0.0,0.0,0.0
72650337_pool0,0.010923240607228006,0.12277381476380946,0.005899609131489374,0.016486715319407333,0.021505968430904795,0.0,0.0,0.0,0.0,0.01786039751249434,0.1740821204920564,0.00743002959144658,0.05789235577637567,0.18927006980688618,0.0,0.085472993662121,0.0,0.0,0.0,0.0,0.0,0.0,0.015959527777765374,0.013307658961425606,0.0,0.04591576585445097,0.0,0.0006735287192221556,0.08436859211536553,0.0,0.0,0.0883972954092293,0.18112854254379562,0.14591905230706273,0.0,0.07451108516558573,0.0,0.0,0.0,0.0,0.0,0.007998422737339618,0.0,0.4006546362686365,0.0,0.02813708636072608,0.0,0.0,0.0,0.0,0.0,0.0
72650337_pool1,0.009988926555672096,0.13078080268318834,0.0053104610709644225,0.018425476280323212,0.02529600210857898,0.0,0.0,0.0,0.0,0.019148214052189572,0.17484230442433613,0.007188991839072009,0.05676935546568895,0.180138619070589,0.00575808161393605,0.13967175278006044,0.0,0.0,0.0,0.0,0.0,0.0,0.01819293461125782,0.013586537628851683,0.0,0.04316574264729816,0.0,0.000894760780280528,0.0790636144178549,0.0,0.0,0.06978409578259148,0.19488467781755026,0.1530382673070241,0.0,0.07269374162496167,0.0,0.0,0.0,0.0,0.0,0.001112824033021164,0.0,0.37089161361318934,0.0,0.0284963896135492,0.0,0.0,0.0,0.0,0.0,0.0
50409370_pool0,0.009192268746375774,0.1614742563741407,0.01617389344391213,0.038013379603716084,0.03513978004839419,0.0,0.0,0.0,0.0,0.03866151808453799,0.1603988097110214,0.007101945767406592,0.08659451849799764,0.1793084871854711,0.0,0.026544407969602793,0.0,0.0,0.0,0.0,0.0,0.0,0.03247016314275731,0.014460728829235296,0.0,0.05277919121731899,0.0,0.0002261483290818917,0.07426166741999944,0.0,0.0,0.0984120276923894,0.13503294006693464,0.149045323999357,0.0,0.09207873939161812,0.0,0.0,0.0,0.0,0.0,0.005772774671297289,0.0,0.37511701721736185,0.0,0.03610427774876293,0.0,0.0,0.0,0.0,0.0,0.0
50409370_pool1,0.005633947996750752,0.16080700738085912,0.015384785435729643,0.05061730572299311,0.04038000537658533,0.0,0.0,0.0,0.0,0.0401824668887513,0.1596386257787417,0.006407044127275636,0.08318081308341312,0.16436611325334852,0.0,0.07963322390880838,0.0,0.0,0.0,0.0,0.0,0.0,0.03699725224829191,0.014107562384766539,0.0,0.04857396707700096,0.0,0.0005604545546812098,0.061854639619871594,0.0,0.0,0.08116900188082031,0.18222773417729796,0.1384286932676859,0.0,0.0739053039853777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3081150875680401,0.0,0.033021421480906546,0.0,0.0,0.0,0.0,0.0,0.0
50402017_pool0,0.009676601709403087,0.1561362644278881,0.015537213493653088,0.024463246086297748,0.030629181455775995,0.0,0.0,0.0,0.0,0.03220610636763821,0.1672404651015389,0.007562534104216134,0.06953356877619181,0.15523466251705137,0.0,0.09237453973421772,0.0,0.0,0.0,0.0,0.0,0.0,0.025126684193138845,0.013546460968918,0.0,0.05493338483877186,0.0,0.0006194497709634424,0.06867301216823286,0.0,0.0,0.06743287355599115,0.18087061311756952,0.11425899594288977,0.0,0.07753999106662579,0.0,0.0,0.0,0.0,0.0,0.004520847634148479,0.0,0.3587026859144511,0.0,0.03222850220640971,0.0,0.0,0.0,0.0,0.0,0.0
50402017_pool1,0.008447469751755097,0.15747076241445127,0.017106858630033254,0.03108824185223851,0.030996597091376664,0.0,0.0,0.0,0.0,0.038385186643656685,0.1634395454401403,0.007139692132663204,0.0729039434142643,0.15025387120634384,0.003868592783240993,0.10086875028449062,0.0,0.0,0.0,0.0,0.0,0.0,0.02881303442890315,0.013897356475957296,0.0,0.054650227209758574,0.0,0.0007079425953867913,0.06331563462549752,0.0,0.0,0.060462992798294916,0.18240464018655658,0.11579803007212873,0.0,0.07875155342704182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3577750053014315,0.0,0.032257328682344544,0.0,0.0,0.0,0.0,0.0,0.0
50402017_pool2,0.008527973038319744,0.16013975838757755,0.021668737067112722,0.04708972353521991,0.0355665052039405,0.0,0.0,0.0,0.0,0.04435183722858342,0.16115899364330113,0.006639253756744247,0.07539316420637562,0.16021545382775892,0.0030574362319162685,0.10299230292205884,0.0,0.0,0.0,0.0,0.0,0.0,0.038986137080483145,0.014169253108486542,0.0,0.05239999777800038,0.0,0.0007177751314338301,0.05096003620991334,0.0,0.0,0.03834003979328696,0.17476387799917886,0.12278293284215099,0.0,0.09147295821141012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3716903285641408,0.0,0.036134751379662794,0.0,0.0,0.0,0.0,0.0,0.0
50300822_pool0,0.011291976510717958,0.1387877906025672,0.010428123465395112,0.016624036181627284,0.017743066951683758,0.0,0.0,0.0,0.0,0.014809895716940193,0.17104138476293754,0.0072540735479244695,0.06401891821613481,0.19176046546223993,0.0,0.04140927643258036,0.0,0.0,0.0,0.0,0.0,0.0,0.01858961217456861,0.013061165622125144,0.0,0.0436126594203404,0.0,0.00010324162849390707,0.07283449992978189,0.0,0.0,0.06916393077452745,0.11868817510710261,0.14725941922855282,0.0,0.12115623604160279,0.0,0.0,0.0,0.0,0.001405005176424099,0.005355465658914352,0.0,0.4769395368407786,0.0,0.030741024025534035,0.0,0.0,0.0,0.0,0.0,0.0
50300822_pool1,0.011537806017847263,0.1441257825488198,0.009667514808136934,0.018658757505312117,0.018957516916225808,0.0,0.0,0.0,0.0,0.015445448423788689,0.17028120083065781,0.006695908433538995,0.06621612400213583,0.21176069417029758,0.004782656085471351,0.06423746728643877,0.0,0.0,0.0,0.0,0.0,0.0,0.019686920522191037,0.011841163447373192,0.0,0.041299827583518564,0.0,0.00036380383374043444,0.06521068899310757,0.0,0.0,0.05966903874454136,0.1298270947945188,0.16232496019672177,0.0,0.1253967043030589,0.0,0.0,2.5746726659480276e-05,0.0,0.0,0.0,0.0,0.47749509080306746,0.0,0.026661811217271233,0.0,0.0,0.0,0.0,0.0,0.0
50300822_pool2,0.01063186889904175,0.14679477852194608,0.01118889251733324,0.027784321913123952,0.02334304660890816,0.0,0.0,0.0,0.0,0.020001017045919726,0.1695210168983781,0.006877240837726445,0.06981941988812428,0.1998159643299054,0.004605520674898339,0.04194016459197242,0.0,0.0,0.0,0.0,0.0,0.0,0.022511019945119264,0.01208711646452709,0.0,0.04360819357171661,0.0,0.0005063756064224966,0.06094716966383597,0.0,0.0,0.0514304074560403,0.13094605491333292,0.1695306951095486,0.0,0.11328108069889863,0.0,0.0,7.151868516522298e-05,0.0,0.0,0.0,0.0,0.4506006887382836,0.0,0.02749674269258708,0.0,0.0,0.0,0.0,0.0,0.0
92113025_pool0,0.009135971389392874,0.16013975838757755,0.019722533211085386,0.044604640804653324,0.03833794672816726,0.0,0.0,0.0,0.0,0.050928506022876144,0.15659789004962277,0.010220312681234526,0.07913829928064581,0.18511941038129656,0.0,0.07166990151792754,0.0,0.0,0.0,0.0,0.0,0.0,0.03439336401704567,0.019186053491226044,0.0,0.06407045173611756,0.0,0.0005801196267752873,0.0577206756653699,0.0,0.0,0.05572929107363826,0.11232015938794984,0.12954357773530367,0.0,0.11025217479785855,0.0,0.0,7.151868516522298e-05,0.0,0.0,0.0,0.0,0.3669895626857981,0.0,0.028281711113101526,0.0,0.0,0.0,0.0,0.0,0.0
482428_pool0,0.009895869176882592,0.09675110402582811,0.008102068989657691,0.013549313084550551,0.015664483530142437,0.0,0.0,0.0,0.0,0.015173597856864476,0.17484230442433613,0.0071816787715472084,0.05126991623268224,0.1901002016920041,0.0,0.05043437514224531,0.0,0.0,0.0,0.0,0.0,0.0,0.013109545318459238,0.012204644992913545,0.0,0.04691598850228751,0.0,0.00023598086512893044,0.07411885020523848,0.0,0.0,0.09030894118221561,0.11442757394941173,0.11553286805921269,0.0,0.11994467368118676,0.0,0.0,0.0,0.0,0.0,0.007720216729084326,0.0,0.4338420608244063,0.0,0.02492421836906826,0.0,0.0,0.0,0.0,0.0,0.0
482428_pool1,0.010204022262376633,0.10475809194520698,0.008347493883316438,0.01379463868072858,0.016863389028398082,0.0,0.0,0.0,0.0,0.014058786371261744,0.1695210168983781,0.0069391443163642555,0.053228190582019795,0.180138619070589,0.0019342963916204965,0.07963322390880838,0.0,0.0,0.0,0.0,0.0,0.0,0.013793667137910054,0.011910537434772283,0.0,0.04268561276108042,0.0,0.0006489473791045587,0.06577282426470922,0.0,0.0,0.07761022503182058,0.14191690444000601,0.13382595110540274,0.0,0.12963717256451499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43861143423269655,0.0,0.025280642200556744,0.0,0.0,0.0,0.0,0.0,0.0
