Cell,ATF3(+),ATF5(+),BCL6(+),CEBPA(+),CEBPB(+),CEBPD(+),CREM(+),ERF(+),ERG(+),ETS1(+),ETS2(+),ETV1(+),FOS(+),FOSL2(+),FOXN3(+),HES5(+),IKZF1(+),IKZF2(+),JUN(+),JUNB(+),KLF3(+),KLF4(+),KLF6(+),MAF(+),MEIS1(+),MITF(+),NFATC2(+),NFE2L2(+),NKX6-2(+),POU2F2(+),PPARG(+),RB1(+),SOX2(+),SOX8(+),SOX9(+),SREBF1(+),SREBF2(+),STAT6(+),TAL1(+),TCF12(+),TFEB(+),TGIF1(+),TRPS1(+),ZNF354C(+)
67185070_pool0,0.0,0.0,0.08150319344142726,0.0,0.026806338532473346,0.0029442621493107283,0.21258758841483777,0.0,0.0,0.0,0.008670152194054577,0.0,0.000683075917349737,0.0,0.2897631826296732,0.0,0.0,0.09161338617921909,0.015061909946551646,0.0024123094592387586,0.09878995375451233,0.0,0.0,0.05895007496262406,0.21643068470773466,0.18919873723240554,0.0,0.04386242741688421,0.0,0.0,0.24824703487356956,0.11692918430233408,0.013535279469470652,0.0,0.0,0.0,0.04091496046187831,0.0,0.0,0.2824900689903806,0.0,0.0,0.3534836815496858,0.0
93815598_pool0,0.0008145723622210003,0.0,0.06017719704893104,0.0,0.012736051594727321,0.0018495299133164842,0.21696693033680411,0.0,0.0,0.0,0.0,0.0008527928146674711,0.0006447789904866371,0.0,0.27313812919942343,0.0,0.0,0.09330993036772316,0.004093722554832153,0.0017898205960856076,0.1058280936767541,0.0,0.0,0.03996044958449711,0.23167486214880972,0.24711458749013782,0.0,0.047281579706685416,0.0,0.0,0.3073839212353478,0.13056501023823622,0.0049456666642200935,0.0,0.0,0.0,0.02639674868508278,0.0,0.0,0.32304835340692,0.009504085251077753,0.0,0.36376557445658425,0.0
50301387_pool0,0.12970301994803196,0.0,0.12418806135907261,0.0,0.020449380367606268,0.0027769273710762502,0.22177922566547034,0.0815100373263061,0.0,0.05057312375023659,0.0,0.0018761441922684364,0.07333585087808717,0.09432457924990688,0.35028954823624836,0.0,0.0,0.0920375222263451,0.03210595614880875,0.034166814445264974,0.09723023844472965,0.02044398755173722,0.06956292127796565,0.018585633882631486,0.23080766413704362,0.18979887610924231,0.025773915617650647,0.04036676619723104,0.0,0.0,0.23739505819148957,0.11568639010004464,0.004755448715596244,0.0,0.0,0.0,0.05332143234386722,0.0,0.007039700125731222,0.27703023278562255,0.0,0.0,0.33826589611609686,0.0
33477756_pool0,0.00014274600458005678,0.0,0.0638332824199613,0.0,0.011297386142281747,0.0016943076712148488,0.2159765109793633,0.0,0.0,0.0,0.0,0.0,0.0007897051847677013,0.00023914216065059192,0.26453751925406793,0.0,0.0,0.09543061060335321,0.004043717474832985,0.0016152620603233211,0.10678232792951162,0.0,0.0,0.04718423309403496,0.20848908314294748,0.24752075369166004,0.0,0.047018165498527345,0.0,0.0,0.34001520019985076,0.12609550111022821,0.003281259613761409,0.0,0.0,0.0,0.025868813711381125,0.0,0.0,0.3288875197588015,0.0,0.0,0.36000553543442243,0.0
89614402_pool0,0.0003380826424264503,0.0,0.05650628103473277,0.0,0.0032988157420240725,0.002158550550807087,0.2238286320107322,0.0,0.0,0.005488692523463463,0.0,0.0,0.0010378784299101818,0.0,0.3006099791106231,0.0,0.0,0.09543061060335321,0.002061420696388193,0.0020310977159679142,0.10804585649964307,0.0,0.0,0.030184275582648825,0.21916914757549452,0.2436152658243643,0.0,0.04718943871969699,0.0,0.0,0.3033659563025659,0.12333382778968208,0.0033288141009173706,0.0,0.0,0.0,0.039859090514475,0.0,0.0,0.3179319868858088,0.002112018944683945,0.0,0.36507608397523117,0.0
89614402_pool1,6.761652848529006e-05,0.0,0.07814382733229264,0.0,0.006064552182611711,0.002123840428852323,0.23687687058891418,0.0,0.0,0.009921867253953184,0.0,0.0,0.0016463941595884586,0.0011531067152047094,0.3363694907873613,0.0,0.0,0.09118925013209307,0.001955761428283293,0.002985508560608052,0.09109209486749312,0.0,0.0,0.01794140930767134,0.2621175529421649,0.1889303258948305,0.0,0.0407663280886078,0.0,0.0,0.20927420554556916,0.11236339071409365,0.006372301278898968,0.0,0.0,0.0,0.048570017580552315,0.0,0.0,0.2950029917911733,0.0,0.0,0.3146766057630635,0.0
63874408_pool0,0.0005709840183202271,0.0,0.056447497455444924,0.0,0.00686486195580657,0.001942087037380761,0.21996398195702568,2.0474788989924224e-05,0.0,0.001055517792973743,0.0,0.0,0.0004502144910049542,0.0,0.2754119715111713,0.0,0.0,0.1009443792159914,0.0016984278855745663,0.0019593218186379304,0.11839289158807431,0.0,0.0,0.03319994435458547,0.21661321762899127,0.25965294295897423,0.0,0.046733406477894895,0.0,0.0,0.33071796646099055,0.12350361241908438,0.0029483782036696716,0.0,0.0,0.0,0.03589957821171258,0.0,0.0,0.3359227654032273,0.0,0.0,0.3751928750281311,0.0
50103093_pool0,0.0007512947609476673,0.0,0.060870581775336156,0.0,0.0016008958748058,0.0021215437883395677,0.22155174090364296,6.824929663308075e-05,0.0,0.007177520992221452,0.0,0.0,0.0012682045323514505,0.0,0.3061505805659684,0.0,0.0,0.09373406641484915,0.0030024630579708303,0.002270196601270905,0.10234781051863312,0.0,0.0,0.02677532571000297,0.2007300638729865,0.22757696834457616,0.0,0.048548283844492765,0.0,0.0,0.31227312254689066,0.1254392834506747,0.00485055768990817,0.0,0.0,0.0,0.04302670035668493,0.0,0.0,0.3031161585927114,0.0031680284170259175,0.0,0.3380080573250396,0.0
50500550_pool0,0.0002554402187222069,0.0,0.07662758446119321,0.0,0.009557205763197829,0.0020410280861625093,0.21840192890685967,0.00010578640978127516,0.0,0.007388624550816201,0.0,0.0,0.0013947380644052775,0.002707294027002361,0.3263616785857815,0.0,0.0,0.09076511408496706,0.002489375305408039,0.0028409805696871264,0.1035854162932843,0.0,0.0,0.02778599468453976,0.22606094414690464,0.1973102698082727,0.0,0.04095130981965125,0.0,0.0,0.24409864225351524,0.1077751000001769,0.00622963781743108,0.0,0.0,0.0,0.04434653779093907,0.0,0.0,0.3160763081808339,0.0,0.0,0.3559334794502887,0.0
70153803_pool0,0.00033056969481697366,0.0,0.05906775746837786,0.0,0.0,0.0023065098849060816,0.2276104323560215,0.0,0.0,0.0,0.0,0.0,0.0005942760370319046,0.0,0.3203728931836499,0.0,0.0,0.09670301874473126,0.0016791055814285357,0.002419122801967134,0.10292323871010099,0.0,0.0,0.027120367864914886,0.2555452074980425,0.2036230396116438,0.0,0.04046292919267477,0.0,0.0,0.2419429275846794,0.11239872003108102,0.0043750128183485445,0.0,0.0,0.0,0.046458277685745696,0.0,0.0,0.3121753014362718,0.008272074200012119,0.0,0.3530369716700882,0.0
5779736_pool0,0.00016528484740848683,0.0,0.06664912090882341,0.0,0.003898063242958329,0.002202756468440485,0.22919130515852423,0.0,0.0,0.008866349460979441,0.0,0.00852792814667471,0.0013056515701420131,0.0,0.32285037188579496,0.0,0.0,0.0975512908389833,0.003195134534690523,0.0023764084191587164,0.10882534579080104,0.0,0.0,0.035001405212863504,0.23432204621254898,0.23176143483328948,0.0,0.04738582180533216,0.0,0.0,0.28883928874808956,0.12708067853461463,0.0059443108944953055,0.0,0.0,0.0,0.04408257030408824,0.0,0.0,0.3284347896332674,0.0,0.0,0.37169963397149525,0.0
60747316_pool0,0.0006836782324623772,0.0,0.05833641569053924,0.0,0.008138509102532337,0.002006640543073741,0.23084181575226273,0.0,0.0,0.0,0.0,0.0,0.0010199249109662735,0.0003188562142007892,0.2977628129488192,0.0,0.0,0.09627888269760525,0.0036965315785069605,0.0025795690834576777,0.1094273343824261,0.0,0.0,0.03886947037124467,0.22058401841138484,0.2372861181111965,0.0,0.053231953164550094,0.0,0.0,0.3274290098258692,0.12936331400012646,0.003138596152293521,0.0,0.0,0.0,0.04408257030408824,0.0,0.0,0.3115999868974919,0.0015840142085129588,0.0,0.35132825065920537,0.0
94722642_pool0,0.0003606214852548803,0.0,0.05868402897707125,0.0,0.00822824247909307,0.0019528130846377372,0.22337785612637848,0.0,0.0,0.0,0.0,0.0,0.002174423652739257,0.001036282696152565,0.29188509001888957,0.0,0.0,0.09330993036772316,0.004087230275846551,0.001927102124909207,0.11276764794681038,0.0,0.0,0.048523861512995654,0.17284325365256512,0.22464998644009815,0.0,0.0497423325041788,0.0,0.0,0.33465843015036945,0.12088158597691445,0.0038994679467889205,0.0,0.0,0.0,0.039067188053922515,0.0,0.0,0.3123742317943437,0.0,0.0,0.36457406490438926,0.0
8132197_pool0,0.00015025895218953345,0.0,0.065292585087317,0.0,0.006840744121911493,0.0021317293250021126,0.23181327057385584,5.801190213811863e-05,0.0,0.0,0.0,0.011427423716544111,0.0005056559262464451,0.0,0.3016745308960946,0.0,0.0,0.0920375222263451,0.0018872121490968292,0.0026102574141322354,0.0969042794745804,0.0,0.0,0.027076116163067238,0.2237332605840226,0.22734490214512554,0.0,0.04007715881170541,0.0,0.0,0.29473670293163484,0.12318827096989897,0.00466033974128432,0.0,0.0,0.0,0.04988985501480646,0.0,0.0,0.3048981796755037,0.010296092355334232,0.0,0.32356024047661885,0.0
98953007_pool0,0.004287613973051571,0.0,0.0650146778523346,0.0,0.011013604780896068,0.001993786132773296,0.23005802317704074,1.3649859326616149e-05,0.0,0.0,0.0,0.0,0.0027525399077674333,0.0,0.28627372426020586,0.0,0.0,0.09712715479185728,0.002828882959251547,0.004228529109618016,0.11345018099587972,0.0,0.0,0.035939515150418794,0.23085330353905395,0.2667340948329804,0.0,0.05172154376635763,0.0,0.0,0.3333373911167215,0.1348437917068693,0.00565898397155953,0.0,0.0,0.0,0.03484370826430927,0.0,0.0,0.3477789617025105,0.00422403788936789,0.0,0.36025583499689934,0.0
4879843_pool0,0.0002178754806748235,0.0,0.06997256391377737,0.0,0.004997840922906677,0.002341130729285733,0.2355477840540482,0.0,0.0,0.0,0.0,0.0,0.0018964373696062932,0.0008768545890521705,0.3089531655421599,0.0,0.0,0.0950064745562272,0.003601952928561414,0.0025229735661036687,0.10619583633297017,0.0,0.0,0.03771338757454665,0.2355543347536131,0.22983335872130675,0.0,0.05141828126245789,0.0,0.0,0.30044613459545755,0.1257824849097772,0.005135884612843943,0.0,0.0,0.0,0.04540240773834238,0.0,0.0,0.31475131325427813,0.007128063938308315,0.0,0.35376383272588924,0.0
57978756_pool0,0.0005033674898349372,0.0,0.06707473868627521,0.0,0.010887694653492722,0.0021224814966634086,0.225590356881407,0.0001364985932661615,0.0,0.0,0.0,0.0,0.0004900170831666582,0.0,0.29595489224669214,0.0,0.0,0.09288579432059714,0.0040831048515777,0.002721787383963836,0.10229313226903489,0.0,0.0,0.050799899840627084,0.22373330995759214,0.2549157364823187,0.0,0.054341330253364545,0.0,0.0,0.2959200530830227,0.1372058946176539,0.005991865381651268,0.0,0.0,0.0,0.042762732869834105,0.0,0.0,0.3128186440416854,0.0,0.0,0.33240874638852685,0.0
81852640_pool0,0.0002930049567695903,0.0,0.07464224964752067,0.0,0.015643279901228564,0.0022051415991722182,0.21675426812029958,0.0,0.0,0.0,0.0,0.0,0.000406609920074461,0.0,0.29150576566864045,0.0,0.0,0.09585474665047923,0.0044430445177713095,0.002699534813212258,0.11394096940313157,0.0,0.0,0.043812881982263636,0.21113629189347147,0.21952431433691275,0.0,0.04765262083757715,0.0,0.0,0.2829801930798693,0.12049318105445343,0.01352027318184622,0.0,0.0,0.0,0.04144289543557997,0.0,0.0,0.31856642433320803,0.0,0.0,0.3774916527101105,0.0
50404163_pool0,0.0002779790615506369,0.0,0.07668984311622,0.0,0.013699257997866438,0.0022287595107884756,0.23042960720229205,4.4362042811502485e-05,0.0,0.0,0.0,0.0,0.000406609920074461,0.0,0.2980933142561046,0.0,0.0,0.09330993036772316,0.004531021489099522,0.002577284177859602,0.11025598317896132,0.0,0.0,0.040160430058048556,0.19315362689785165,0.2237151312167053,0.0,0.04798474215560887,0.0,0.0,0.2803476876497192,0.12090626356619275,0.01596795772920118,0.0,0.0,0.0,0.047514147633149005,0.0,0.0,0.31959753377615946,0.005368048151071694,0.0,0.3601548673100697,0.0
65001607_pool0,0.0003080308519885436,0.0,0.07076453886656611,0.0,0.016116170357764,0.002687296784952199,0.2178313964195216,0.0,0.0,0.0027443462617317317,0.0,0.0,0.000732670070378846,0.0,0.30191087085019175,0.0,0.0,0.08906856989646299,0.006109379433126707,0.0026368141733434125,0.09979598569736366,0.0,0.0,0.03170249195909515,0.22409842517367493,0.20894435992774155,0.0,0.047004158311593436,0.0,0.0,0.26648812968087,0.1214289852185454,0.006372301278898968,0.0,0.0,0.0,0.04777811511999983,0.0,0.0,0.29734228030062143,0.0,0.0,0.3392707968810226,0.0
65001607_pool1,0.0,0.0,0.08074373777381684,0.0,0.027162474483102123,0.002950307574793144,0.2250829050906332,0.0,0.0,0.0,0.0027068404729345174,0.0,0.0006464055139645277,0.0015541873117976516,0.3311295249102156,0.0,0.0,0.0708307198700444,0.014055168179324581,0.0030795547801656838,0.07622421551825949,0.0,0.0,0.019961657970672425,0.26188935593211315,0.14413167287813064,0.0,0.040330978197464985,0.0,0.0,0.16591582526929022,0.10323981434649097,0.006895400637614554,0.0,0.0,0.0,0.04619431019889487,0.0,0.0,0.2611688633732506,0.0,0.0,0.21088314796201843,0.0
47236602_pool0,0.000413212118521217,0.0,0.04988547166320377,0.0,0.002813695779961709,0.0022084840892108233,0.22925622327689027,0.00010578640978127516,0.0,0.0,0.0,0.0,0.00039097107699467403,0.0,0.2953725066858753,0.0,0.0,0.0975512908389833,0.0022204605557389996,0.001882977647049109,0.10682665525331896,0.0,0.0,0.026766132493236904,0.20698290881625175,0.2448797894695293,0.0,0.04523257332819382,0.0,0.0,0.31075797392131854,0.12436812898934846,0.004232349356880658,0.0,0.0,0.0,0.03933115554077334,0.0,0.0,0.3298207492653955,0.006160055255328173,0.0,0.3656789365343588,0.0
61827429_pool0,0.00021036253306534684,0.0,0.0685822509468505,0.0,0.00568451225727253,0.00220877681965977,0.23545827419359275,0.0,0.0,0.004644278289084469,0.0,0.0005116756888004825,0.0010374002279413186,0.0,0.3205877835491274,0.0,0.0,0.09543061060335321,0.0026890713830419314,0.0025360078007848684,0.10678418990060869,0.0,0.0,0.02974172124525119,0.24687337550108976,0.21079808688028429,0.0,0.0445308555009017,0.0,0.0,0.27518192349645004,0.11981665586827736,0.0053736570486237565,0.0,0.0,0.0,0.044874472764640724,0.0,0.0,0.32056593684650286,0.0,0.0,0.3610590687852538,0.0
37251992_pool0,0.00010518126653267342,0.0,0.07411336038845114,0.0,0.012877820058040312,0.002106731496844691,0.22968824864129914,6.8249296633080746e-06,0.0,0.0014777249101632403,0.0,0.0,0.0007189203981923954,0.0,0.3165306677024246,0.0,0.0,0.08991684199071502,0.0036448396257547,0.002776806414863504,0.099693007654332,0.0,0.0,0.03616881292681521,0.2487446650438683,0.19290216445646255,0.0,0.04870012340277602,0.0,0.0,0.2499197582171254,0.11485696668405128,0.013741771517860267,0.0,0.0,0.0,0.046458277685745696,0.0,0.0,0.2984675230132192,0.0,0.0,0.31325544095842056,0.0
52509923_pool0,0.0002178754806748235,0.0,0.07446304912255551,0.0,0.007838840763138736,0.0023052405827220742,0.23122505238683277,0.0,0.0,0.009499660136763687,0.0,0.0,0.0015757802647449856,0.0,0.33019274293009315,0.0,0.0,0.09585474665047923,0.0034889107729498725,0.002923946662261485,0.10546715658864371,0.0,0.0,0.033998200550034614,0.2517113496084647,0.20442221247925355,0.0,0.04324112685355716,0.0,0.0,0.2657316858038721,0.11778806919564773,0.007275836534862253,0.0,0.0,0.0,0.043818602817237415,0.0,0.0,0.3055113285495987,0.0,0.0,0.34694701760487623,0.0
64358179_pool0,0.0003230567472074969,0.0,0.07935597978195705,0.0,0.011770983961112603,0.0017602021807386415,0.22583888270765998,0.0,0.0,0.01667718112898514,0.0,0.011427423716544111,0.00229141234161063,0.0,0.31742254890251775,0.0,0.0,0.09373406641484915,0.004693198466985358,0.0024204891106983798,0.10070615891822209,0.0,0.0,0.03074824078353959,0.23797334649408533,0.21860648581944664,0.0,0.04297443733253775,0.0,0.0,0.28859763703746333,0.12464141358072015,0.007466054483486103,0.0,0.0,0.0,0.029828326014143543,0.0,0.0,0.2934422617319576,0.001848016576598452,0.0,0.34724353298558475,0.0
64493027_pool0,0.00037564738047383365,0.0,0.06415768512389881,0.0,0.010001867148000762,0.002121070397461558,0.22763708427324994,6.8249296633080746e-06,0.0,0.0,0.0,0.0,0.00041703581546098564,0.0,0.28288915073621845,0.0,0.0,0.0979754268861093,0.0021197014276263713,0.002216784960936586,0.11190387200469505,0.0,0.0,0.04078526364781514,0.23199433796288219,0.23453881719885394,0.0,0.0481135691418847,0.0,0.0,0.30329312182689183,0.1250849949082995,0.0049456666642200935,0.0,0.0,0.0,0.03695544815911589,0.0,0.0,0.33119207805223894,0.0,0.0,0.36970335675437255,0.0
50103129_pool0,0.0014745468450405102,0.0,0.08157781273264894,0.0,0.022397504367888517,0.0028689748073539817,0.21889307019407442,5.801190213811863e-05,0.0,0.0,0.0,0.0023878198810689186,0.0013260527524645877,0.0,0.30172849854767153,0.0,0.0,0.09034097803784104,0.004999325760322426,0.0035957816752360647,0.1011832669128737,0.0,0.0,0.03584653222797283,0.22797792246526302,0.22221726804918915,0.0,0.04518338408894798,0.0,0.0,0.23666238303111528,0.12130769842823184,0.009421920059515676,0.0,0.0,0.0,0.043818602817237415,0.0,0.0,0.31129088845794955,0.0,0.0,0.3421728502462319,0.0
92613520_pool0,0.00046580275178755373,0.0,0.07075837288857639,0.0,0.009758572051447735,0.002393901718289537,0.22366144952035416,0.0,0.0,0.005699796082058212,0.0,0.0028994955698694014,0.0011331342758044351,0.0,0.3082007870243095,0.0,0.0,0.0805858489539427,0.004163964407244241,0.0024325224614876284,0.09907940552800897,0.0,0.0,0.02670414601999553,0.22021890319530202,0.22316534977139918,0.0,0.04638561162750105,0.0,0.0,0.25874755847671055,0.12205843999065394,0.005278548074311831,0.0,0.0,0.0,0.04302670035668493,0.0,0.0,0.3106463143141251,0.002464022102131269,0.0,0.3440809556645559,0.0
53772202_pool0,0.0,0.0,0.07079668907679273,0.0,0.0140676145555491,0.002170455566700255,0.21324903895161157,0.0002320476085524745,0.0,0.0,0.0,0.0,0.00047437824008687114,0.0,0.2920024316193677,0.0,0.0,0.09585474665047923,0.0025703236853892916,0.002593711253340113,0.10139302984190772,0.0,0.0,0.03887275092174566,0.2440436338293092,0.2256363943563298,0.0,0.04443998268871516,0.0,0.0,0.27352602133092196,0.12044207683440346,0.005991865381651268,0.0,0.0,0.0,0.0446105052777899,0.0,0.0,0.32101535913512164,0.0007920071042564794,0.0,0.3536270283411848,0.0
1243685_pool0,0.00011348771924153,0.0,0.07197602214173171,0.0,0.013148132613970468,0.0019226638576048448,0.23011042945064014,2.388725382157826e-05,0.0,0.005699796082058212,0.0,0.0,0.0009463647649008344,0.0,0.2977797446542786,0.0,0.0,0.09585474665047923,0.00280525167892404,0.0024457267456203867,0.1068793672844175,0.0,0.0,0.0337506881789503,0.21104501308945076,0.2501180334343386,0.0,0.04954786392195142,0.0,0.0,0.3012166985961256,0.1272804959370256,0.005611429484403568,0.0,0.0,0.0,0.0380113181065192,0.0,0.0,0.32783416842377006,0.0,0.0,0.34907229158103475,0.0
61029627_pool0,0.00010518126653267342,0.0,0.08483555722434534,0.0,0.013448162915503655,0.0022950663160729652,0.23664396840086985,5.4599437306464597e-05,0.0,0.010132970812547933,0.0,0.0,0.0016895205285500888,0.0,0.32397712775679705,0.0,0.0,0.09161338617921909,0.004614406674225927,0.0028321634778473333,0.10339022941731803,0.0,0.0,0.04368785570239575,0.2376538706800129,0.20441145556254164,0.0,0.046145989359621636,0.0,0.0,0.2892531657991822,0.12703199858824424,0.006942955124770517,0.0,0.0,0.0,0.04091496046187831,0.0,0.0,0.29386036867037,0.0,0.0,0.3357549381386453,0.0
89164957_pool0,0.0014887792351600834,0.0,0.06544286885205639,0.0,0.006311880464738693,0.0022134457281900916,0.2328444622378296,9.213655045465901e-05,0.0,0.0025332427031369833,0.0,0.008869045272541698,0.0014240060973729506,0.0,0.30430985662853577,0.0,0.0,0.09712715479185728,0.0021266015554611546,0.003173331408771393,0.10698660726956231,0.0,0.0,0.037452155884734294,0.2322225349729339,0.22392054790569707,0.0,0.045379109926385525,0.0,0.0,0.28161574735311856,0.11949903226643512,0.005468766022935681,0.0,0.0,0.0,0.04513844025149156,0.0,0.0,0.3233043536131578,0.0,0.0,0.3404271409886742,0.0
