Cell,BACH1(+),BCL6(+),BHLHE41(+),CEBPA(+),CEBPB(+),CEBPD(+),DLX1(+),EBF4(+),EGR1(+),ELF1(+),ELK3(+),ETS2(+),ETV1(+),ETV5(+),ETV6(+),FOS(+),FOSL2(+),FOXO1(+),FOXP2(+),IKZF2(+),IRF2(+),IRF7(+),IRF9(+),JUN(+),JUNB(+),KLF15(+),LEF1(+),MAF(+),MAFB(+),MITF(+),NFATC1(+),NFE2L2(+),NFKB2(+),NHLH2(+),NKX6-2(+),POU2F2(+),PPARG(+),PRDM1(+),RB1(+),RFX2(+),RFX4(+),SOX21(+),SOX9(+),STAT3(+),TCF12(+),TCF7L1(+),TCF7L2(+),VEZF1(+),ZBTB37(+),ZFHX3(+),ZNF331(+),ZNF521(+),ZNF652(+)
93815598_pool0,0.008912368598277189,0.03531024843837372,0.0,0.0,0.023629220107070782,0.020959454058099323,0.0,0.0,0.005923261711490232,0.04561884533931177,0.0,0.0022995305262691274,0.07049468304025007,0.06907193987941407,0.04609766150797825,0.00945460901454343,0.04989373415740706,0.14114973992971488,0.0,0.11976571980728971,0.08854716100055122,0.0,0.013576297794701951,0.020880460709182664,0.01521813998459353,0.08000456477010334,0.0,0.0008110693693666519,0.0,0.0625454695753358,0.0,0.07613655637192393,0.019807205166067297,0.0,0.0,0.0,0.0,0.0,0.09024503498902686,0.07734973664905276,0.09862797313654338,0.03352824831212155,0.0716849656825652,0.0535734611897038,0.0685277410912882,0.012779662776202539,0.12268713732588263,0.031683896998143744,0.09552153797327073,0.0,0.0,0.3953441676104253,0.0
33477756_pool0,0.007447780384668004,0.019350076698658816,0.0,0.0,0.013623175979768561,0.009384111449676493,0.0,0.0,0.005427035512987739,0.035188523629637605,0.0,0.0021817433074788157,0.05767642293705553,0.07356872995999517,0.019421312816147365,0.009412958754567468,0.04171802982194557,0.14098255797687886,0.0,0.10941220445836256,0.09985063475864925,0.0,0.0048893540048912994,0.017448056209043047,0.006182651473277278,0.11498059483545967,0.0,0.0,0.0,0.05873172143049824,0.0,0.0703158164935871,0.021019891196642847,0.0,0.0,0.0,0.0,0.0,0.09796874014740348,0.041465711369952536,0.08491437494873114,0.013990204331676616,0.08431588868345329,0.03560821622724501,0.061329448959850374,0.0,0.1143660081958062,0.0,0.08563598342260031,0.0,0.0,0.40941741951462357,0.0
89614402_pool0,0.009309725480835005,0.013819658622707575,0.0,0.0,0.014433030168551063,0.0025109838818237243,0.0,0.0,0.005811277296505302,0.06303751633051918,0.0,0.0024756692541298944,0.06992233317015556,0.07145064051254106,0.012050462028810195,0.009246357714663618,0.03955649357451825,0.14989633449972484,0.00047873904636648546,0.09997232192256916,0.10235387221602041,0.0,0.0008363368692577222,0.019736325875802794,0.007293596659881788,0.12226714055991535,0.0,0.0016684855598399695,0.0,0.06368959401878706,0.0,0.06867170794743231,0.010914174275179938,0.0,0.0,0.0,0.0,0.0,0.08486394787576546,0.21940278310976347,0.09205534466535825,0.01712593978532827,0.05968819601550229,0.034765507543557145,0.06593635592397058,0.0186663078894155,0.1212021133341419,0.0,0.07749810234622637,0.001986329387397245,0.0,0.38674374674393375,0.0
50103093_pool0,0.007220713909525687,0.08056629014816423,0.0,0.0,0.03433161115740986,0.07150980940800362,0.0,0.0,0.006982656609920218,0.030429743563683498,0.0,0.0028780368484233937,0.0410703220504912,0.05852259027516291,0.10699801545199303,0.01959964008965418,0.062234090430684924,0.12849964785260065,0.018192083761926447,0.13804675126721513,0.08426420335299549,0.0,0.057954014063452776,0.04051178059069979,0.02983155441213024,0.03977804819488014,0.0,0.0016221387387333039,0.0,0.006483371846223832,0.0,0.08260533677251643,0.02829600738009614,0.0,0.0,0.0,0.0,0.0,0.0513777734401089,0.07465310615488224,0.1409024920730079,0.04341787551209985,0.0558304278824703,0.079606499787792,0.05758633705150269,0.03007460880232941,0.13809531385436688,0.0,0.05627025514256077,0.0,0.0,0.28808536463636086,0.005475012204424752
63874408_pool0,0.032580999337017365,0.024980149800135906,0.0,0.0,0.015486730257659108,0.004531884854563797,0.0,0.0,0.004021913006250264,0.08395131387588071,0.0,0.002427575899389104,0.07720024624508043,0.05743386790885584,0.01164867440370542,0.01933089938571912,0.06862519306545956,0.1460048814460435,0.0,0.0846816899189092,0.07694520105656773,0.21154753166419812,0.0093348230261871,0.014778408264490013,0.011875338393719754,0.17133929804067133,0.0,0.02039547068366153,0.0,0.06483371846223833,0.0,0.06868016495521462,0.025062177965228007,0.0,0.0,0.0,0.0,0.0,0.14776587259736598,0.19119734910104816,0.07923134272435302,0.02568757193126179,0.06704013000876245,0.03957135482348629,0.06795187772077317,0.02337195512359512,0.10487748997624267,0.10945346235722385,0.14822370633450216,0.0,0.0,0.42913538971302956,0.0
70153803_pool0,0.006267034713927954,0.00785098764629518,0.0,0.0,0.009636065724741585,0.011916634632755947,0.0,0.0,0.004940235677681891,0.054130917988539605,0.0,0.002362003435975947,0.056075245099711395,0.07405973058457806,0.013050764121808464,0.008954805894831884,0.03510410265284978,0.16782473336969975,0.012925954251895107,0.1088288088726742,0.12001091799203623,0.0,0.0,0.014206340847800076,0.003284533595178554,0.10426931694590791,0.0,0.0,0.0,0.009534370362093873,0.0,0.06572297640166934,0.02041354818135507,0.0,0.0,0.0,0.0,0.0,0.10035929642154173,0.1527096643541043,0.09459677281495266,0.0,0.0860177001407744,0.03314145440502525,0.06276336385754527,0.013729022437740088,0.13113016906948038,0.0,0.08850832463637405,0.009269537141187145,0.0,0.40821121714569497,0.0
8132197_pool0,0.00832203355867212,0.046945144011133,0.0,0.0,0.02222111390840554,0.03345197174835905,0.0,0.0,0.006804708882204887,0.06090948914620297,0.0,0.0028095869027736343,0.06775293170413633,0.05627766975457888,0.07021479607177815,0.00984536347450097,0.05006885845020855,0.13561334524170218,0.0,0.13530025032094237,0.09441090859464259,0.0,0.015464583586787635,0.03518847018301979,0.013430339147695983,0.031100116537746265,0.0,0.003862628025541566,0.0,0.0,0.0,0.0936164601201419,0.017583947443345457,0.0,0.0,0.0,0.0,0.0,0.1264978477709582,0.00431323490828578,0.12324869014771739,0.03569914208772654,0.07422681121560014,0.05671102020289192,0.06622428760922809,0.0009534043359541727,0.1311078005874803,0.0,0.1074994110741501,0.009600592039086685,0.0,0.33804150258127463,0.0
5779736_pool0,0.01028725893994629,0.020055934713859053,0.0,0.0,0.013066342660862155,0.00213305005240303,0.0,0.0,0.00471926778310606,0.05550604438271861,0.0,0.00245181255251147,0.0742609526246712,0.07325470031911294,0.014300671094539455,0.008788204854928034,0.040028885019852765,0.13667307645961432,0.0,0.0932044305825993,0.08341010041040961,0.0,0.0,0.01716202250069808,0.00724529469524681,0.09530118327638351,0.0,0.004426121415686586,0.0,0.060638595502917024,0.0,0.06670443383075655,0.011318402952038455,0.0,0.0,0.0,0.0,0.0,0.09543904253205264,0.10732900687992569,0.06671025355720253,0.0,0.05888183978503698,0.03701296974622608,0.06954217226636586,0.0028602130078625183,0.11291557137555619,0.0,0.09581863700312791,0.00397265877479449,0.0,0.41835738221411395,0.0
60747316_pool0,0.00699364743438337,0.04130326481291027,0.0,0.0,0.0429420586413005,0.05875552343249267,0.0,0.0,0.004445411321390517,0.054434756266422635,0.14732538576016796,0.002396957823247816,0.0701837380921236,0.05131214313714723,0.07278645219827623,0.026072279081834595,0.09483522826833243,0.1360986293947178,0.020346409470575633,0.1259753312454864,0.11559008410107781,0.0,0.016636344231021272,0.03431846133818219,0.03639244928105217,0.07443966155496468,0.0,0.0,0.0,0.0015254992579350193,0.0,0.0781563859637111,0.020009319504496553,0.0,0.0,0.0,0.0,0.0,0.0666268994589233,0.07847299591384727,0.11886222801512224,0.0,0.08575169471153445,0.0701359952727081,0.06680015097974312,0.046631099406192686,0.1549341816750195,0.1152141709023409,0.07597127577497817,0.021187513465570615,0.0,0.31102786240307967,0.002395317839435829
94722642_pool0,0.008673939350436517,0.03528131676693126,0.0,0.0,0.0327805376497643,0.05511321249966353,0.0,0.0,0.005886473938060769,0.03303008661144703,0.0,0.002454289897432822,0.04188328735005944,0.07482155763434738,0.06172647947012628,0.00978781109435113,0.05235973839162306,0.16346289591384638,0.0007181085695497282,0.12140322496773714,0.1177561732627841,0.0,0.008554406426937344,0.018115468195181304,0.01454505795711517,0.0720591852477224,0.0,0.0,0.0,0.019831490353155252,0.0,0.07827155255187646,0.014754346705335843,0.0,0.0,0.0,0.0,0.0,0.06982575989303627,0.0,0.11696070663930513,0.018573202302398267,0.11159139223420562,0.060534193029697245,0.05441908851367004,0.0,0.12721571800388493,0.0,0.06333290597006566,0.011752448875433702,0.0,0.344779867210826,0.0
57978756_pool0,0.01143963547470541,0.055930563016861785,0.0,0.0,0.023148790368884068,0.06573180821274445,0.0,0.0,0.005337269228612425,0.06597262643371186,0.0,0.002587926765138046,0.08197620295936549,0.051043690602325456,0.07907433809212347,0.009371308494591505,0.06966951911424243,0.1562946653261363,0.026091278026973457,0.13930085381346652,0.11032311335444014,0.0,0.020426789210244715,0.015373317265102892,0.018018109645739588,0.04311658259544851,0.0,0.0,0.0,0.0,0.0,0.10503074293838086,0.011318402952038455,0.0,0.0,0.0,0.0,0.0,0.10228682358168008,0.057797347771029454,0.1484838181684375,0.0,0.09077226097206659,0.07680388077428918,0.06536049255345557,0.012775618101785916,0.14691071318055446,0.015266258395229436,0.09674258435634896,0.01589063509917796,0.0,0.30882195935655715,0.008684084326395431
4879843_pool0,0.007584020269753395,0.06405073626638405,0.0,0.0,0.03592270814943873,0.09973977247447724,0.0,0.0,0.007337813761339806,0.03024945563218402,0.0,0.003042499861652106,0.06660249504935183,0.06703631767196996,0.1426375404970687,0.012896755756407738,0.07973016730279087,0.11962961039596366,0.014840910437361049,0.15575155293558057,0.09580926322741631,0.0,0.02072014052915113,0.021642080626553085,0.03686784001333918,0.02741131848646108,0.0,0.0,0.0,0.0,0.0,0.09441438760959375,0.00020211433842925812,0.0,0.0,0.0,0.0,0.0,0.06823315270835066,0.04140705511954349,0.14157509047210037,0.036905194185284866,0.07652775320377828,0.08210027313381241,0.06680015097974312,0.009152681625160058,0.14340294748599233,0.013994070195626984,0.07313623875837771,0.0,0.0,0.30230494415501974,0.0
98953007_pool0,0.012948170872196501,0.024095928805941517,0.0,0.0,0.019296485272187174,0.008189944481197777,0.0,0.0,0.005678242153719668,0.08315565031885072,0.0,0.0022610073910202867,0.0763428104458383,0.07388753072499366,0.03209309063788574,0.009912761874279016,0.046574821653739225,0.1573057399442911,0.0,0.114337808049528,0.09433145090357847,0.04254587229000632,0.007910397342779164,0.020594427000837693,0.009370581139185874,0.1555990990675194,0.0,0.0024187935564514546,0.0,0.07551221326778346,0.0,0.07999429530317559,0.03314675150239833,0.0,0.0,0.0,0.0,0.0,0.1393830477046767,0.11750734337516311,0.09570059832030299,0.025256071538622717,0.08922808378088891,0.04222989016960909,0.06017772221882032,0.005339064281343367,0.11766350128736622,0.015841948499071872,0.11575527870171474,0.0016552744894977045,0.0,0.46478142522202737,0.000342188262776547
50404163_pool0,0.006675754369184125,0.007533744274013627,0.0,0.0,0.010515095019446235,0.007818524202436656,0.0,0.0,0.004538487419098781,0.04038577882455948,0.0,0.0021281973038095774,0.0599141822332639,0.07606461873004006,0.008143905894497141,0.008871505374879959,0.030608113902694623,0.1425785196117118,0.0,0.09555169422683474,0.10385482197935869,0.0,0.004760686794236265,0.01182272661159201,0.0,0.08247229063498722,0.0,0.002803982676953282,0.0,0.012585368877963911,0.0,0.06331677672305222,0.008084573537170325,0.0,0.0,0.0,0.0,0.0,0.11151981196196059,0.05728767318412879,0.06192983785919469,0.003135735453651655,0.08882541002123565,0.029050087782602933,0.0641630006237747,0.0,0.11721407204679386,0.0,0.08955625680018942,0.013573250813881176,0.0,0.40642611470357787,0.0
81852640_pool0,0.00831063299020881,0.013289668929433871,0.0,0.0,0.013125493267187422,0.010822717270702472,0.0,0.0,0.004527675470539192,0.04021550986177237,0.0,0.0022103882399019353,0.061541865902914855,0.07700610699402607,0.008898367690976055,0.009329658234615543,0.037390733547144596,0.14729169638952586,0.0,0.10293611579592053,0.10357791672028127,0.0,0.003474014687685923,0.016589955084008144,0.0061343495086423,0.10669542954760905,0.0,0.0,0.0,0.024789362941444064,0.0,0.0670237259511573,0.02263680590407691,0.0,0.0,0.0,0.0,0.0,0.0863313615890848,0.08588092269083289,0.08063026575310563,0.0,0.0925768671339249,0.030317404538127018,0.06680015097974312,0.0,0.1150409996698857,0.0,0.08551740770179593,0.006786625406940588,0.0,0.39049709461112886,0.0
65001607_pool0,0.015469024396452502,0.008755037049006507,0.0,0.0,0.013331074061744554,0.009492638482710295,0.0,0.0,0.003970941926133863,0.0563883218607838,0.0,0.0024158598350235354,0.06727767953781867,0.07658591710028911,0.009678921268398156,0.008621603815024186,0.035583908513712584,0.14978468228723776,0.0,0.0838854719639252,0.09581078994943364,0.0,0.0010293376852402736,0.008867044958694007,0.004153968958608171,0.1457430712079452,0.0,0.0030894592038320976,0.0,0.06826609179259212,0.0,0.05756741045767119,0.006063430152877744,0.0,0.0,0.0,0.0,0.0,0.1033127217640909,0.08798999212902991,0.06922635136479026,0.020077642429032202,0.08168987012303985,0.03409419278320598,0.05701047368098767,0.03171773874434452,0.11147834500413292,0.0,0.09687126002919455,0.005627933264292195,0.0,0.42948176910734726,0.0
61827429_pool0,0.00885559253055037,0.01653587470098859,0.0,0.0,0.01516906694741651,0.009880529767317937,0.0,0.0,0.00506038966194257,0.05432106700111306,0.0,0.0024944781930660597,0.06743332411079982,0.07403508894019813,0.017272640217517194,0.00978781109435113,0.038037106864069026,0.14514622612164,0.004548020940481612,0.10113371689796377,0.09974126764308944,0.0,0.0057347772403515814,0.020213048723044403,0.0066173691549920866,0.0685424701442447,0.0,0.0009732832432399822,0.0,0.008390245918642607,0.0,0.06879145548407228,0.010509945598321423,0.0,0.0,0.0,0.0,0.0,0.08681846052117623,0.14285411016420385,0.07755150351010898,0.0,0.06310530397585183,0.03709043586495538,0.06478462918294052,0.014430688343847727,0.12043779604953832,0.0,0.08179310871695793,0.00380713132584472,0.0,0.39491388751457457,0.0
52509923_pool0,0.015295545199338284,0.03338829655905352,0.0,0.0,0.025150406658962485,0.04404204842901315,0.0,0.0,0.00661013863778086,0.04912447172851274,0.0,0.002421671330786542,0.060570750091645434,0.08129358641692919,0.05430194829881171,0.009579559794471317,0.051802629432928335,0.15333651731815853,0.0,0.12491127158457963,0.09422826967206642,0.0,0.006530169450671194,0.018401501903526275,0.01865970555995867,0.0709218109839536,0.0,3.793594370086432e-05,0.0,0.05415522365669319,0.0,0.07792797899406835,0.014350118028477327,0.0,0.0,0.0,0.0,0.0,0.09534337443192413,0.08540205118405844,0.1095034430145283,0.04154224118398062,0.0988533018216187,0.05731030409639281,0.06680015097974312,0.018877405851892622,0.1213563257136427,0.0162840089549114,0.0981792285576412,0.0,0.0,0.410764345955868,0.0
50103129_pool0,0.006162587914938984,0.01533709804938159,0.0,0.0,0.028985138127882403,0.008941884976525673,0.0,0.0,0.00459933944882891,0.07026667125679295,0.0,0.0021309130759391095,0.06640251897160002,0.05330702802898458,0.010152649362295608,0.009954412134254978,0.03784025777337016,0.12812005631681328,0.00885667235777998,0.10807852495202977,0.0914603373794508,0.0,0.007141030191354397,0.019068913889664533,0.00466493796140979,0.09227528317276679,0.0,0.005707648742949647,0.0,0.04996010069737188,0.0,0.06947169428311746,0.024253720611510977,0.0,0.0,0.0,0.0,0.0,0.10025636080953887,0.144024248270503,0.08698177746391646,0.0,0.0905833003729238,0.0250399341266518,0.0642087658124255,0.0015254469375266765,0.11516906350183088,0.0,0.08689764770285156,0.0,0.0,0.4152843948540183,0.008554706569413676
64493027_pool0,0.015759260907495198,0.018345644674239256,0.0,0.0,0.014429373704618031,0.008088846075730913,0.0,0.0,0.00482380330463937,0.06125558298070625,0.0,0.002220483765266453,0.07851371903231459,0.07119901161633724,0.013306462952834197,0.009537909534495355,0.03957343161212945,0.14976934006483839,0.0,0.09490179887199518,0.0817701460504641,0.0,0.004439018767598679,0.018782880181319565,0.007583408447691661,0.1076541585551222,0.0,0.0037178737847788877,0.0,0.05262972439875817,0.0,0.06898934255298715,0.02061566251978433,0.0,0.0,0.0,0.0,0.0,0.13484803409240426,0.08976707964161221,0.07422776853700902,0.007676745634629958,0.08364412920327433,0.03582459492205564,0.07205536760973459,0.00025558938105998735,0.09870331937596015,0.0,0.12888203468226053,0.0,0.0,0.44863342435734416,0.0
92613520_pool0,0.022253517345167537,0.015369485902225654,0.0,0.0,0.012334900519310061,0.007342424392861331,0.0,0.0,0.004400417276654186,0.05218218716491204,0.0,0.0023097191244731996,0.0697050829059701,0.08097406501710543,0.011358902474066637,0.009704510574399203,0.035382636311829696,0.13389171611721767,0.0,0.0801915652796245,0.08055301487467888,0.0,0.001415339317205376,0.01325289515331685,0.0044920827110530226,0.1352476701208754,0.0,0.0067115588688918225,0.0,0.07513083845329971,0.0,0.05764523691421839,0.0028296007380096137,0.0,0.0,0.0,0.0,0.0,0.09250505539080604,0.1464219083179296,0.05058587306039622,0.03365957701337751,0.06943214459504561,0.02963175600029117,0.05499495188418508,0.027259080936252924,0.09993310126622684,0.0,0.09509770023176313,0.005958988162191736,0.0,0.4115617852502993,0.0
53772202_pool0,0.005914670173653925,0.035515126366558285,0.0,0.0,0.016441199731438337,0.006077521128924137,0.0,0.0,0.00562461883496936,0.08486681718904301,0.0,0.002501881729609391,0.07044723163356435,0.04603945991934307,0.04518677094216216,0.00978781109435113,0.04989948181046053,0.13900506006778385,0.0,0.12603761719570566,0.0876383955727791,0.0,0.020852445450408503,0.02368314365031687,0.008501145775756258,0.05144843855771119,0.0,0.0028735029086132805,0.0,0.005720622217256323,0.0,0.08608614316149046,0.025264292303657263,0.0,0.0,0.0,0.0,0.0,0.11969714307036747,0.10560647844813777,0.1115706522596032,0.025568304468236575,0.06753839595444726,0.04852000073085865,0.06881567277654572,0.0,0.1343480305995468,0.0,0.11490013736883478,0.005627933264292195,0.0,0.3853815158628987,0.003079694364988923
