Cell,ARX(+),ATF4(+),ATF7(+),BCLAF1(+),BPTF(+),BRF1(+),CEBPG(+),CHD1(+),CLOCK(+),CREB3(+),CREBL2(+),E2F3(+),E2F6(+),EMX2(+),EP300(+),ETS2(+),FOXG1(+),FOXK1(+),FOXK2(+),FOXO3(+),FOXP1(+),HMBOX1(+),HMGA1(+),HSF1(+),ILF2(+),IRF7(+),JUND(+),KLF6(+),MAF(+),MAFG(+),MAZ(+),MBD2(+),MECP2(+),MGA(+),MXD4(+),MZF1(+),NFE2L1(+),NFIB(+),NFYC(+),NKX6-2(+),NR2C2(+),NR2F1(+),NR3C1(+),NRF1(+),PBX1(+),POLR3A(+),POU2F1(+),PURA(+),RB1(+),RFX3(+),RXRA(+),RXRB(+),SETDB1(+),SIRT6(+),SOX1(+),SOX2(+),SOX6(+),SP3(+),SREBF2(+),STAT3(+),STAT5B(+),TCF12(+),TEF(+),THRA(+),THRB(+),UBP1(+),USF2(+),YBX1(+),YY1(+),ZBTB11(+),ZBTB17(+),ZBTB25(+),ZNF148(+),ZNF207(+),ZNF25(+),ZNF335(+),ZNF519(+),ZNF580(+)
46547648_pool0,0.0,0.0,0.0,0.056671215882668116,0.05989378738263129,0.0,0.0,0.04192986777442811,0.05914915481208372,0.0,0.04696432094692066,0.22173487286799,0.0709329313563913,0.1018710565933434,0.042381865341625295,0.044940340487761736,0.00794076240887459,0.06206569529815619,0.10629223611080929,0.07140083973194515,0.3588733479082936,0.10755573188305369,0.0,0.0,0.0029000059622408874,0.0,0.03999992943812134,0.053201372117328075,0.019609285968594504,0.0,0.005636003017344569,0.16705733476522683,0.06359193170249645,0.0,0.0,0.0,0.00014359278035168006,0.5438636814884622,0.0,0.0,0.10303477663557166,0.04047530059180426,0.3567865270535377,0.12889553254428351,0.3721058854621184,0.0,0.6022321205091997,0.024605032007967313,0.2868509708634361,0.46468645718118573,0.005054521202001843,0.0,0.0,0.0,0.0,0.0,0.0,0.14415049694126425,0.006856704920518624,0.0,0.04840092499162018,0.135646104876243,0.0,0.0,0.5764519350705322,0.11741004539104738,0.010590642499005667,0.0,0.060519357121654536,0.05193083148728495,0.0,0.021795475771046104,0.319972754208054,0.06781858248409055,0.00085420503661952,0.0,0.1128022436009735,0.025611249227907522
46547648_pool1,0.0,0.0,0.0,0.05472626255970793,0.07853537655588633,0.0,0.0,0.04426540394743222,0.0583608104850157,0.0,0.03339288219419834,0.21720134969077018,0.07195306380893031,0.11011601620971112,0.03750828647442531,0.04179255203076219,0.008160891429381688,0.06144036853291859,0.1247988303923932,0.07862065634086346,0.35713651084933307,0.11063662566827352,0.0,0.0,0.002328816535648999,0.0,0.0359151338676075,0.04694859556532711,0.02119636846605269,0.0,0.005906687491013637,0.16569203256331114,0.07426069217425546,0.0,0.0,0.0,0.00012943020475535,0.5533864714830018,0.0,0.0,0.1012783862293918,0.041174201601358,0.3614785756718095,0.12685583107435291,0.39775691595028917,0.0,0.6108411868551114,0.028099033971285704,0.27924453346450123,0.47491946729339846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14571153071548276,0.007737210743645332,0.0,0.056467745823556875,0.14580960476167165,0.0,0.0,0.5771734531938321,0.11735300522010518,0.0075591925359875314,0.0,0.05970296322480213,0.05121395686606108,0.0,0.021805034552565696,0.3210167115367301,0.06967706744044165,0.0,0.0,0.10911522568908975,0.02807805510255017
46547648_pool2,0.0,0.0,0.0,0.04656230949856037,0.08452318974846108,0.0,0.0,0.04040612667872395,0.057495213192686905,0.0,0.036071455632235634,0.22216646382673746,0.06720628223683814,0.10819219229922533,0.030988711869843324,0.04142271511092825,0.00799952719017982,0.06283654272490927,0.12225667111160046,0.07869218420695087,0.351074985970081,0.10962183984657894,0.0,0.0,0.0015100134391690036,0.0,0.0384752854873377,0.04296235389495936,0.02082604921664578,0.0,0.005645160946976562,0.1573936783636745,0.07211409294522032,0.0,0.0,0.0,0.00011880827305810242,0.5646495973176717,0.0,0.0,0.09623363301059315,0.03792637241363947,0.3567661951923907,0.12571128525938746,0.41717498356888755,0.0,0.5956703724633479,0.026119584807339873,0.28057075859745034,0.4911154775112168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13992089994431567,0.007006578252114659,0.0,0.055792642765618676,0.14242464494740195,0.0,0.0,0.571213995559303,0.10686342086023258,0.011406802104433627,0.0,0.05871124644314301,0.05450706253101865,0.0,0.011875486371387677,0.31835565842999614,0.0704950856222169,0.0,0.0,0.11923760237345848,0.032213582598274615
91707643_pool0,0.0,0.0,0.0,0.06646660294426247,0.046691536144024576,0.0,0.0,0.0448699815404022,0.0610697792481813,0.0,0.055803613292443745,0.22685480097873875,0.0735743728329756,0.0,0.030735116999435336,0.057300427863232604,0.016293150272606943,0.0411774567329702,0.09076970760829048,0.07865971646915638,0.3554745555025371,0.10615832552499437,0.0,0.0,0.009462130103722252,0.0,0.06646502884187591,0.05946662375822938,0.0,0.0005960093440075323,0.009951601027480337,0.1642846864564153,0.09083503117487901,0.0,0.0,0.0,0.002341222565820259,0.5470859458427794,0.0,0.0,0.11224871060537633,0.05721529839613428,0.35810044937147645,0.1301836756035681,0.36703110136629497,0.0,0.6130070687672887,0.040091696762109205,0.2906865900773732,0.4607247185353524,0.0033948276729863125,0.0,0.0,0.0,0.0,0.0,0.0,0.14996309977266914,0.010116449882732397,0.0,0.03605518180535184,0.12206730147468682,0.0,0.0,0.5839847416868257,0.11924900782083228,0.013486065861119143,0.0,0.0684178974178995,0.06904755187221912,0.0,0.01492690034829736,0.3225996512261786,0.07366034460624521,0.0027578619753715937,0.0,0.07231023896760283,0.03279400750995524
91707643_pool1,0.0,0.0,0.0,0.06337559856670844,0.0757939398002379,0.0,0.0,0.0459892406270571,0.05972143090038331,0.0,0.04794646454086766,0.22486158003525608,0.07247816737666833,0.0,0.0323007040475994,0.053301585667917775,0.011796722104444374,0.04603705961290446,0.08876273986336278,0.08391559952189381,0.3576558728896516,0.10709518503047417,0.0,0.0,0.00590201021250363,0.0,0.06010133028543238,0.049362253602719064,0.0,0.0,0.008057703449232859,0.1591745544747502,0.09176644976652591,0.01569980082658661,0.0,0.0,0.00023014185344036396,0.551409061873729,0.0,0.0,0.11062351882017575,0.05369895728472888,0.35374220169286524,0.1313346178167221,0.4119493461903046,0.0,0.6120973853955981,0.04046712822812885,0.2799909095104104,0.4742060998279963,0.004274968180797579,0.0,0.0,0.0,0.0,0.0,0.0,0.1512193263262149,0.01017265238208091,0.0,0.04306980861573158,0.13326378862028615,0.0,0.0,0.5847907372265793,0.11377166765181797,0.012158506304598443,0.0,0.06576462772796059,0.07400345615480941,0.0,0.01542670644424746,0.32349276517601305,0.07539509527392774,0.0020134833006031547,0.0,0.09537964123102828,0.03471666502989731
91707643_pool2,0.0,0.0,0.0,0.06526541061696671,0.09366730806906116,0.0,0.0,0.04733528704222532,0.058668749824828816,0.0,0.03241073860025132,0.24513467022835955,0.07151957061721352,0.0,0.04465252338168255,0.0439212371224986,0.011407758172627756,0.04962177471826521,0.10863653479225853,0.08712532232133788,0.346593618156092,0.10539640136352428,0.0,0.0,0.003961825241030168,0.0,0.05775574702868654,0.032155012826849516,0.0,0.0,0.006758639560888198,0.15116516325688484,0.08971223797793801,0.039623306848051924,0.0,0.0,0.00019080136567278038,0.5863764048029936,0.0,0.0,0.10193497531940637,0.049091261552616804,0.35502743295784595,0.13004874731434862,0.45553064664452025,0.0,0.5971091783415947,0.03761641266768426,0.2777323316698902,0.4837873900037806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1454313582826296,0.01030379154722744,0.0,0.05022472796231891,0.1617505832258782,0.0,0.0,0.5706504867160522,0.11082088519633598,0.014653486511806443,0.0,0.06190317379981681,0.07680285613856934,0.0,0.015872936668024605,0.32550751156766794,0.07305128185591184,0.0012324958385510217,0.008199797612376618,0.10267699433632464,0.03674815222077949
44019405_pool0,0.0,0.0,0.0,0.06222597753050392,0.05388494426468773,0.0,0.0,0.04507056435625442,0.06070377459663357,0.0,0.055000041261032556,0.22954170625859274,0.06925098426329789,0.0,0.03515045487425963,0.05609518490926267,0.014425724507877966,0.055826840598989826,0.06774316147956548,0.07423324340356831,0.35051194363704186,0.10716593806697866,0.0,0.0,0.007211248639528786,0.0,0.052181082925930565,0.05214429965382031,0.0,0.0,0.007462166484934502,0.16084982638418863,0.07049495343774126,0.0,0.0,0.0,0.0014302437924687676,0.5579029373677066,0.0,0.0,0.10172682990668903,0.045108404150493275,0.36102357887802067,0.13435849334975541,0.3827559582881635,0.0,0.576036048003472,0.04013049680462113,0.2922497506812869,0.4881326142049446,0.010989182911814952,0.0,0.0,0.0,0.0,0.0,0.0,0.14894206926189885,0.0075124007462512785,0.0,0.038580447457088544,0.1446031815237195,0.0,0.0,0.5806509003742562,0.11518891225076679,0.009541294434884006,0.0,0.06604222696048918,0.07054978846058921,0.0,0.01562895422971947,0.3269379304720008,0.07164598788998819,0.0023673682443455272,0.009307878370805892,0.11546353547513609,0.03098017966095329
44019405_pool1,0.0,0.0,0.0,0.05584021050611003,0.07021333920232879,0.0,0.0,0.0465119928248634,0.06226728019079827,0.0,0.04723217829072438,0.227805526500128,0.07197549544234802,0.0,0.05075339678381551,0.04466982818179396,0.010341728332461218,0.05944665135531938,0.07991900664040529,0.08221842418438455,0.35572700947607666,0.11299014376609898,0.0,0.0,0.004345066753678119,0.0,0.047819142332249986,0.03959163126740139,0.0,0.0,0.005723901532629543,0.15969219233537835,0.07564962936868715,0.0,0.0,0.0,0.00016444323886849937,0.5585417086613911,0.0,0.0,0.1076285206578989,0.04120063781653613,0.37196670727772185,0.13809494379382486,0.40362493758544005,0.0,0.5958289732727571,0.03413997754228274,0.2886201714218884,0.49152705279350156,0.0065130397578033695,0.0,0.0,0.0,0.0,0.0,0.0,0.15338874691032392,0.00959189322214627,0.0,0.050154581694215106,0.13317024675235936,0.0,0.0,0.5865351824095956,0.10849779074633736,0.009036052774380982,0.0,0.06343474635409387,0.07059183457737145,0.0,0.015174698682041817,0.32995554173330394,0.0769997456927098,0.0007687845329575681,0.014183433707894691,0.1172766963387089,0.032286135712234695
44019405_pool2,0.0,0.0,0.0,0.06090417810968611,0.09013290678128272,0.0,0.0,0.050525421396867595,0.05956584638766451,0.0,0.041428602508310236,0.24410682133345482,0.06918880511717607,0.0,0.049827686633818966,0.04531139853638551,0.011296489394012862,0.060270287181509584,0.07294878464583536,0.08452997995886413,0.34883031581936735,0.10128305179201182,0.0,0.0,0.004196591791287175,0.0,0.05437591767816269,0.027795174520357607,0.0,0.0,0.0062015883082050405,0.15168438312447685,0.07915505671680342,0.00915821714884219,0.0,0.0,0.00016404983399082355,0.5846678984658371,0.0,0.0,0.10129606443887061,0.04574359056746767,0.35919282996729757,0.13371575974053493,0.45620897302503244,0.0,0.575854972970026,0.035165866919424256,0.28531652822999415,0.5019674831178512,0.0033948276729863125,0.0,0.0,0.0,0.0,0.0,0.0,0.15383304942091214,0.007887084075241368,0.0,0.06474622961494758,0.146307798020344,0.0,0.0,0.5732665234854788,0.10201032316395019,0.013894061448761518,0.0,0.0627047594921617,0.08184168015063918,0.0,0.016832668014352795,0.33354912525814706,0.07659385793721443,0.00025626151098585604,0.017396867907339582,0.1174323098819574,0.03384602766237637
44019405_pool3,0.0,0.0,0.0,0.06311100063647902,0.10343445417362807,0.0,0.0,0.05095436011535007,0.0582524301289234,0.0,0.03455359735068116,0.2505506747725162,0.06676975514863241,0.0,0.05944738176732558,0.041504588672812245,0.01227573537127537,0.062058259462417775,0.10713499250883765,0.0913068576979088,0.33689546535627907,0.11356039573327609,0.0,0.0,0.004427556299124773,0.0,0.05997429804686475,0.017574268868093084,0.0,0.0,0.006551334447280165,0.14638711840955831,0.08853842923732869,0.04423591770984155,0.0,0.0,0.0001494938535168176,0.6194534519645006,0.0,0.0,0.09607556949278434,0.04613870121932225,0.36752169836929743,0.13368331801854572,0.47856523630786374,0.0,0.5727148595366446,0.042090425193985946,0.2785570392926986,0.5099550139993563,0.0,0.0,0.0,0.003127693985643446,0.0,0.0,0.0,0.15026854943285262,0.007156451583710695,0.0,0.07819649308164453,0.193256687773496,0.0,0.0006485483848393296,0.5572958238224278,0.09159722350716024,0.018927352110234927,0.0,0.06211352702690952,0.07922479479250549,0.0,0.02221500039061245,0.32986506064444254,0.06989344807756125,0.0,0.03224515007029184,0.12504201412690383,0.034136240118216685
24039289_pool0,0.0,0.0,0.0,0.06580705147540185,0.04458214907187631,0.0,0.0,0.050434130792077925,0.05877720094833852,0.0,0.0670536217322004,0.23940097783800085,0.06697343233666544,0.0,0.02229239564453707,0.0609879345601987,0.015185938108506183,0.04403585159980918,0.08337631733859527,0.07749273690574723,0.34933109075395624,0.09764426929677096,0.0,0.0,0.007739626786725521,0.0,0.06480666190211844,0.05445703138151755,0.0,0.0,0.009819689369214655,0.16776673917581492,0.07599902969643552,0.0,0.0,0.0,0.0010837585724187341,0.5703001302405489,0.0,0.0,0.11075271999249404,0.04753117239216879,0.36496134338218605,0.1298126023406931,0.3953526785788462,0.0,0.5975971718943179,0.045127786122559646,0.30037340443755145,0.48995999117551425,0.002967330854906555,0.0,0.0,0.0,0.0,0.0,0.0,0.14904596083237245,0.007399995747554252,0.0,0.040684835500202465,0.12467167116599105,0.0,0.0,0.5836575075818953,0.1117640843485257,0.012883662342827076,0.0,0.06757326621697574,0.07485512039644271,0.0,0.013793748698855558,0.33252690543296626,0.07680346359608899,0.002147715520643365,0.0,0.07670276340548594,0.030544860977192823
24039289_pool1,0.0,0.0,0.0,0.07062230192233156,0.07195636719781759,0.0,0.0,0.058406358652878854,0.05894997521040857,0.0,0.059375044543160144,0.24380220550278087,0.07534645493385175,0.0,0.03837508002719668,0.056263305503181996,0.014396238194360103,0.04743255504980441,0.07222308937802589,0.09030200407750483,0.3425512357114725,0.09957707058181842,0.0,0.0,0.006862463627600247,0.0,0.06438898205575619,0.035990908445794625,0.0,0.0,0.00899318589690665,0.1519066417413391,0.07868376202505421,0.023830054826068963,0.0,0.0,0.0002702691509632992,0.5757556166057999,0.0,0.0,0.11112518923655602,0.047158782258211886,0.3539619918393546,0.12989281861341678,0.45133220393761764,0.0,0.6044505157196458,0.04987573495616213,0.27353042521147314,0.48960625234756444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1524772067088246,0.007887084075241368,0.0,0.05408277270802776,0.15626633412638644,0.010380061374203428,0.0,0.5714130331294018,0.10535968623295855,0.012456150168555289,0.0,0.06629387535009258,0.08384196710220673,0.0,0.016149688163402474,0.3317135320814521,0.07720347579074247,0.0026021346164282447,0.0,0.0803930285820342,0.031850817028474226
