,regulon
20,"[MBP,LYPD6,ARHGAP12,DPP10,LUZP2,NXPH2,KCNMB4,PLCE1,CPM,CDH20,GATAD2A,PDGFC,ZBTB37,TMEM64,ST3GAL6,SOCS6,CA3-AS1,YES1,TCF12,ZNF367,KCNC2,STK33,ZNF397,RASSF8,SMOC2,NOX4,KLHL5,MEF2A,MYO5B,TP53BP2,CA2,ACVR1C,CLDN11,LRRC3B,ARHGAP24,STARD4,LIFR,KAT2B,ARHGEF6,KLF3,RCBTB2,PSTPIP2,COBLL1,LPIN2,RORB,PRKG1,TMCC2,TMEM229A,CDCA7L,TLE1,APCDD1,INPP4B,PTPN13,PTGDS,LATS2,SLC4A7,PLCL1,PDGFD,NAMPT,TMEFF1,MAPK4,PRKY,PIP5K1B,MFAP3L,GULP1,HOMER1,SERTAD2,TTLL7,AFF1,CHD7,EZH2,SLC12A2,MYO1B,REL,IFT80,ZEB2,FAM107B,DSE,NFE2L2,ZNF462,MAP7D3,TRPS1,FAT4,DACH1,SYPL1,GPD2,TAB2,NFKBIZ,ZNF652,SLC40A1,RAI14,RHOBTB1,LINC00863,UGCG,FBXL7,CNTNAP3B,DPYSL5,STK17B,PIM1,C1GALT1,RFX2,MIR17HG,COLEC12,MGAT4A,HPSE,RNF182,PLEKHH2,SLC22A3,PLEKHG1,BAMBI,CNR1,GLI3,SVIL,CUEDC1,ADAMTS1,USP53,RASSF3,ANKRD30BL,PDE9A,TGFBR1,TRPC4,KCNK2,TGFBR3,ZNF281,LRRC8D,PLPP1,FREM2,C12orf75,PAQR8,CRIM1,FAM114A1,HS6ST3,CCDC160,CPE,CYTH1,BAZ1A,ERG,STXBP3,KANK1,APBB2,ERBIN,SMURF2,EDIL3,EPHA6,BICC1,LPGAT1,PTPRM,NHS,PAG1,KIAA1217,PPARG,P4HA1,SLC35F4,NTNG1,LYN,FRYL,USP44,NCK2,CNTN5,SLC38A9,PLS3,INPP1,TPK1,CALN1,SIGIRR,MAML3,MYO16,PRIMA1,RBP7,GRM8,PLD1,PLSCR1,RHOBTB3,ST7-AS1,NCOA3,GPM6A,ABCA1,ZNF804A,KLHL13,PPARA,ACTA2,PLS3-AS1,IVNS1ABP,PIP4K2A,SLC7A14,USP6NL,PLD5,CREM,ANKRD37,UGT8,NFYC-AS1,HDAC9,USP3,SALL1,JAG1,AASS,ZNF516,CHRM2,SUSD6,BMPR1B,CCDC50,SLC4A4,RRBP1,SRD5A3,SLC22A23,CDK19,CDK6,EPS8,MAP7,RAP1B,MIR155HG,TOX3,SLC44A1,FAM53B,LINGO2,RNF141,ZMAT1,TRAPPC10,RAB3IP,SH3RF1,ID4,EML4,LIMA1,MOB3B,NEK7,RAB39A,GRB2,ABHD17B,SEMA5A,RDX,SLIT2,ZNF521,ETS1,TCP11L2,ITGB1,LINC00886,THSD7B,TBC1D4,PLAG1,MITF,GALNT13,LRRC8C,IKZF2,SDCBP,FARP2,RHBDD1,TOX,CPEB2,LMO7-AS1,LINC00271,PELI2,BTBD3,GOLIM4,ARHGAP6,RIMKLB,QKI,ELOVL7,GALNTL6,CEMIP,RUNX2,OTUD7B,GNAI1,RAP1A,PLOD2,CDYL]"
21,"[ERF,TRIB1,NPAS4,SERPINE1,DUSP6,DUSP1,GADD45B,NFATC2,PIK3R5,KLF4,CCDC26,ATOH8,ITPRIP,GPIHBP1,ETV5]"
22,"[SH3BP1,FOSL2,NFATC2,ARID5A,INSIG1,DUSP1,TAC1,KCNAB1,C21orf91,GADD45G,HMGCS1,KLF6]"
23,"[PVALB,MAFB,GCA,PIM1,RGS5,NET1,LANCL1,SOX2,SDCBP,COL25A1,ERMAP,ATOH8,CCDC50,KLF3,AMD1,SLC26A7,KLHL5,CD93,GPR149,CEP97,ABCA1,KCNJ2-AS1,NT5DC1,CCDC152,MAF,KCNAB1,ITPK1-AS1,CENPE,GNAI1,DLX1,WWTR1,SHE,TTLL7,CDK19,VSIG4,EPS8]"
24,"[DPF3,DSCAM,PDE4B,SLC25A48,GNG12,FZD9,MEIS1]"
25,"[SLIT2,SATB1-AS1,COL19A1,CHST9,PRKG1,RHOBTB3,TBC1D4,BRINP3,NCOA3,BARD1,RBMS1,LEPR,RUNX2,RAP1A,PIEZO2,CDK6,EPHA6,QKI,AFF1,NXPH1,ZFAND6,TANC1,TCF12,DTNA,MEF2A,SLC4A4,C1GALT1,MPP5,DACH1,LIFR,SKIL,P4HA1,VAV3,RCBTB2,PTPN13,PCDH11Y,GPC6,TOX3,FOXP2,EPB41L2,SGCZ,NTNG1,USP6NL,SFMBT2,SGMS2,DSE,PPARG,CHRM2,ELOVL7,ZNF804A,PDGFC,UGT8,ZNF521,PELI1,EZH2]"
26,"[CDKN1A,HEY2,TRIL,NR4A1,TRIB1,ETV5,NFATC2,IFITM3,RFX2,MEX3D,FGFR3,ADAMTS1]"
27,"[LRRK2,PPP2R2A,SUSD6,SLC3A2,ZNF367,REL,SLC40A1,LINC00467,SVIL,CFLAR,INPP1,TMEM165,SHTN1,EZH2,PLEKHA2,NEK7,GRB2,NFKBIZ,UGCG,FAM167A,LPGAT1,PLAGL1,RDX,CCND3,TTLL7,PIP5K1B,GNAI2,LRRC8D,ZFYVE16,PFKFB3,KCNMB4,SLC7A1,GLIS3,SLC4A7,GSAP,DLEU7,SLC16A1,IFT80,SYPL1,TNFAIP8,TJAP1,GAL3ST1,GATAD2A,BAZ1A,THNSL2,DPYSL5,ACER3,GCA,CASC15,RAB39A,NIPAL3,ITGB1,SLC25A33,KLHL5,FOXO1,PDE8A,TARSL2,QDPR,HSD17B7,RB1,ATP1B3,ARHGAP12,CLDND1,RAP1B,KLHL32,REEP3,ACSL1,USP44,RASSF3,MOB3B,ZNF462,FERMT2,SNX30,BMP2K,GLCE,PIM1,TBC1D4,PRKX,NOX4,YPEL2,RASSF4,ERBIN,EML4,LGR4,EPB41L2,GNB4,ARHGEF6,JAG1,LIFR,AGPAT4,FMNL3,CNKSR3,SERTAD2,MEF2A,RHOU,BCL11B,ITGAX,PTPDC1,DUSP16,KIF13A,MTUS1,STK17B,MTMR10,SKAP1,KCNK2,SEMA6A,RIMKLB,MGAT1,EMP2,KAT2B,MSMO1,NPL,ELOVL7,SCD5,LRIG1,SOX6,GNAI1,CRIM1,ACVR1C,STK3,TTF2,IGFBP7,FAT1,NFE2L2,AKAP13,SAMD3,SOAT1,NFYC-AS1,SGCZ,CTBP2,TIPARP,LPIN2,PLS3,LRRC8C,USP6NL,PLXDC2,NPR3,TBC1D14,KIF6,FARP2,RCBTB1,POLA2,SLCO4A1,TEX14,PLSCR1,FAM149A,BTBD3,CDK6,PRKCH,HAPLN2,ZNF652,RBPJ,FAM107B,SSH2,USP3,PARD3,PLAG1,GREB1L,LINC01170,CPE,MPP5,BCAN,KLF3,CUEDC1,TRPM1,PRRG1,NCAN,CNN3,PPARG,ERMAP,SMC4,PPP2R5A,TGFBR1,LRRC3B,SERPINE2,TGFBR3,GOLIM4,KIAA1217,NRG1,ANKRD30BL,RHBDD1,RAB3IP,RAP1A,SLC7A2,LINC01135,ARAP2,PTPN13,CHRM2,APBB2,CARHSP1,SKIL,FKBP5,ZNRF2,RBMS1,COL19A1,ZFAND6,GPSM2,ITGB8,IRF2,PRKCQ,RHOBTB3,NES,LEPR,SATB1-AS1,ZNF516,CDH20,FRAS1,KIF13B,YES1,SLC35F4,ROBO2,L3MBTL4,PLD1,LINC00863,PLEKHH2,CDKN2B-AS1,TRIM13,P4HA1,PLPP1,PAQR8,NLGN4Y,FOXN2,HTR2C,FOXP2,SOCS6,GPD2,GREM1,MAP7,GNG12,IL6ST,PLD5,NPTX2,GJC1,BACH1,BCL2,FAM110B,CDK19,SLC7A14,ADCY2,DSE,NCK2,MARCH3,RAI14,HOMER1,SYNE2,KREMEN1,MET,FOXN3,RCAN3,PDLIM5,MIR17HG,TTTY14,RNF19A,UBE2E1,FIGN,TRHDE,HDAC9,THSD7B,EPN2,NRP1,MAP3K1,CALN1,KANK1,EDIL3,ZNF804A,NCOA3,WIPF1,FNDC3B,TOX3,PDE10A,GRID2,PLPPR1,MAPK4,PDE4B,ZNF521,ATP8B1,IVNS1ABP,TAB2,NETO1,SDCBP,VEZF1,RFX2,AFF1]"
28,"[TTYH1,NIPAL4,LGALS3,ZIC2,NKX6-2,FES]"
29,"[EVA1C,MAP3K14,CAV1,SH2B3,VASH1,POLM,TMPRSS5,LINC00299,LINC01554,ARHGAP31,PACS2,TBC1D2,GTF2IRD2,PHYKPL,TTC7A,STK10,EMID1,LINC00598,ALDH16A1,STAT5A,MYO18A,TRIM67,GALNT15,DOCK1,TEAD3,POU2F2]"
