,regulon
20,"[CAMKV,ABHD11,MRPL38,DPYSL4,CD27-AS1,TIMM22,IMPDH2,ADRM1,MARCKS,RTN4R,IFRD2,RABGGTA,HLA-B,LGALS3BP,DBP,ZNF385C,NR1D1,KLF16,BCL3,ANKRD34A,PHF1,PRKAB1,DCXR,HLA-A]"
21,"[CYHR1,ZSCAN18,WRAP73,EMD]"
22,"[BTG3,CHAC1,SERF1A,VIP,ZBTB18,STK32A,DLL4,LAMA3,COMTD1,INSM1,SYT6,TCF15,NGB,TMEM158,LRRC2,PCDHB9]"
23,"[KPNA1,IGSF11,RPS6KA3,SPRED1,GATAD2A,RND3,WWC3,DCLK1,GNG4,FNDC3A,RAI1,TMEM132D,RHOBTB1,PDE10A,ST3GAL5,DIAPH1,LONRF1,KDM3A]"
24,"[BAZ1A,RB1,SFSWAP,MTERF2,EDIL3,MYO6]"
25,"[BCL9,SLC9A5,NRCAM,BACE1,SQLE,ZBTB2,TSPAN7,MRPL39,VKORC1L1,WDR33,SH3BGRL2,MSRB3,MLLT6,NECTIN1,RALY,HIPK2,THAP1,TOR1B,ZNF814,IMPAD1,PDCD6,DGKZ,TAB3,SAMD8,ZDHHC9,FEZ2,SFT2D1,SEC23B,RTCB,BMP1,COPB2,HS6ST2,TLE1,ZNF266,RAD50,PDXK,PABPC1L,SUN1,LARP4,R3HCC1L,WDR55,IL17D,TMEM80,SCO1,TENM1,ZNF385D,SGSM1,ACOX1,BIN3,CIC,GLRB,MIS18A,MFAP1,PBX2,MLEC,DIS3,KLHL2,MYCBP2,MEGF9,DIP2B,MEG3,PTK2,MTMR1,FAM182B,FAM120B,MUS81,MAP4K5,PDGFA,MTG2,MICU1,ZNF441,TIMM23,HAUS3,DIMT1,CRTC3,GALNT9,ACTN1,TMED10,SLC39A9,KMT2D,VASN,EML6,PRPF39,UBE2E2,DLEU2,ZNF394,PPP2R1B,OSGIN1,HS6ST3,AKAP12,RRP15,DHRS11,ELK4,ACTN2,ZNF529,LGALS9,NRXN3,HHIP-AS1,PHACTR2,SEC24A,SRSF10,OSTM1,CDHR1,DGKI,MAPK8,STT3B,TRIM2,NCAM1,YWHAZ,ARAF,SIRT1,NUAK1,TMEM8B,FBXO9,EFCAB2,LRRC58,PTPN23,SMS,UBXN7,FNDC3A,USP3-AS1,BSN,PPFIA4,FBXL5,RALGAPB,RNF146,PAQR3,CHIC1,PCF11,ATXN2L,RAB40B,DONSON,TMEM43,XIRP2,GET4,CCZ1B,PPP3CC,FBXO31,PRKCB,NF1,VPS13C,FOXJ3,HCN3,GOLGA4,SLC2A4RG,CLSTN2,TNKS2,CLUH,FAM219B,MAPK6,BMPER,ABHD12,CCHCR1,PREB,JARID2,EDIL3,SLC16A10,HCG18,OTUD5,ZNF350,MAN1A2,MFHAS1,MYB,EXOG,HEATR5B,FAM153B,DGKH,AMFR,IER5L,ELAVL2,GGCT,NOB1,UQCC1,ARHGEF3,RABEP1,SNHG20,POFUT2,ME1,CLK3,SGPP1,ZNF720,ANKRD42,PDCD6IP,HACD1,AFF2,RAD54L,ANAPC10,LRRC4,LIN54,ATXN7,NETO2,ME2,NCK1,PURG,MFSD14C,C1GALT1,VEZF1,RLIM,TNFRSF21,YTHDF2,EIF2AK3,RNF19A,ATP1B3,ABI2,MAPRE3,SYBU,KRAS,LRRC8C,SUCLG2,BTBD11]"
26,"[COL5A3,PTGDS,GPX3,MFGE8,IFITM3,NEUROD2,TTYH1,CRB2,SHROOM1,MOBP,HEPACAM,ADIRF,NDRG2,EMX2OS,TBR1,VIPR1,FGFR3,EMX1]"
27,"[DENND6A,RAD52,AGL,DHFR,EXD2,MIOS,FBXL4,MAP7,MTO1,PDZRN3,ZNF595,ZFAT,SSH2,FAM151B,PRDM4,IFT80,PCDHA10,OSBPL9,C1D,PRH1,APPBP2,EPRS,NUP93,USP13,TDRD3,PIK3CB,USP6NL,TM2D1,ADGRL2,GARNL3,USP49,EP300,CTNNA2]"
28,"[SS18L1,ICMT,OPTN,ATP1A1,TMCC2,SEMA7A,CPLX1,BSG,SRI,ATN1,CHGA,SH3BP5L,ARL8A,KIF1A]"
29,"[TAF1C,ARMC5,RSPO3,SOCS5,LLPH,HNRNPK,CELSR2,STT3A,PPIB,HAUS6,SUMO1,APMAP,AP1S2,MCM7,RAB14,CFAP20,ELFN2,USP21,ARL4C,TLE2,BTG1,KPNA2,RABL6,CCND2,FZR1,WDR24,MSL1,MANBAL,VGLL3,PTTG1,SPNS1,HAUS4,WAC,TICAM1,RRP1B,NFIX,CLCF1,ATP7A,SHMT2,CKAP4,SHISA5,PPP4R1-AS1,TNRC18,SCN3B,PLA2G4C-AS1,LINGO3,NFIL3,VAT1,TMEM263,MOV10,BRD2,IQSEC2,CGGBP1,MCRIP1,H3F3B,LINC00449,NBL1,HNRNPA0,SSB,MRPL28,SUB1,SHF,SDS,JAG1,TNFAIP8L1,TNFSF12,MAFG,PRKAR1A,DTX3,RGPD4,THRA,ASPHD2,BRK1,DVL1,MAP1LC3B,FAM131B,RHOF,PELI2,GUK1,RAN,COMTD1,SIDT2,C19orf48,SLC22A18,ZNF703,AP4S1,NACC1,CALCOCO1,FASTKD5,COL20A1,RTN2,LRRC42,EFNB2,PLK5,GPD2,PRMT1,GNG12,LSM14A,NEU4,DBNDD1,FBXO45,PMEPA1,GNAS,ZNF347,VSTM2A,HMGN4,BOK,MYCL,DCDC2,FNDC3B,CHRNA6,AP3S1,USP11,HNRNPF,NELFA,NUDT4,MAP3K10,FMNL3,PELI3,ZC3H4,EVC,CEL,CDK5R1,VILL,DLX2,ARHGEF28,BCL2L2,MAX,RPS21,PJA2]"
